Lb/ry,h/tw,B/2t,h/B,tf/tw,E/Fy,Mp/Mcr,Mn/Mp
45.84527221,41,4.491525424,2.655974843,1.718446602,208.279468,0.558946041,0.843662751
54.44126074,41,4.491525424,2.655974843,1.718446602,208.279468,0.789460993,0.783431054
65.9025788,41,4.491525424,2.655974843,1.718446602,208.279468,0.978897687,0.777522106
74.49856734,41,4.491525424,2.655974843,1.718446602,208.279468,1.248814283,0.825768926
85.95988539,41,4.491525424,2.655974843,1.718446602,208.279468,1.607064334,0.889904275
100.286533,41,4.491525424,2.655974843,1.718446602,208.279468,1.905433723,0.940299645
111.747851,41,4.491525424,2.655974843,1.718446602,208.279468,2.210899607,0.965787732
123.2091691,41,4.491525424,2.655974843,1.718446602,208.279468,2.443235616,0.983176768
131.8051576,41,4.491525424,2.655974843,1.718446602,208.279468,0.867145978,0.992659645
66.66666667,57.89230769,7.38317757,2.38164557,1.646153846,208.279468,1.088189768,0.749952818
75.36231884,57.89230769,7.38317757,2.38164557,1.646153846,208.279468,1.410974291,0.815744806
86.95652174,57.89230769,7.38317757,2.38164557,1.646153846,208.279468,1.852528047,0.875580307
101.4492754,57.89230769,7.38317757,2.38164557,1.646153846,208.279468,2.230619432,0.921602716
113.0434783,57.89230769,7.38317757,2.38164557,1.646153846,208.279468,2.6263752,0.944501921
124.6376812,57.89230769,7.38317757,2.38164557,1.646153846,208.279468,2.932647819,0.959977628
133.3333333,57.89230769,7.38317757,2.38164557,1.646153846,208.279468,0.232589872,0.968372278
31.83023873,26.76190476,3.552631579,2.081481481,1.80952381,208.279468,0.375099656,0.948079935
42.4403183,26.76190476,3.552631579,2.081481481,1.80952381,208.279468,0.49448721,0.880905826
50.39787798,26.76190476,3.552631579,2.081481481,1.80952381,208.279468,0.621305947,0.817593257
61.00795756,26.76190476,3.552631579,2.081481481,1.80952381,208.279468,0.798080828,0.728331941
68.96551724,26.76190476,3.552631579,2.081481481,1.80952381,208.279468,1.026159261,0.66429574
79.57559682,26.76190476,3.552631579,2.081481481,1.80952381,208.279468,1.211356955,0.631695279
92.83819629,26.76190476,3.552631579,2.081481481,1.80952381,208.279468,1.350866802,0.608325279
103.4482759,26.76190476,3.552631579,2.081481481,1.80952381,208.279468,1.536981035,0.913448455
114.0583554,26.76190476,3.552631579,2.081481481,1.80952381,208.279468,1.67634416,0.938203214
122.0159151,26.76190476,3.552631579,2.081481481,1.80952381,208.279468,0.536569247,0.95263545
50,40.14689266,5.286624204,2.140361446,1.774011299,208.279468,0.743991368,0.798587678
60.52631579,40.14689266,5.286624204,2.140361446,1.774011299,208.279468,0.913150684,0.771040905
68.42105263,40.14689266,5.286624204,2.140361446,1.774011299,208.279468,1.091609358,0.775941688
78.94736842,40.14689266,5.286624204,2.140361446,1.774011299,208.279468,1.404836328,0.847666507
92.10526316,40.14689266,5.286624204,2.140361446,1.774011299,208.279468,1.665725541,0.906367856
102.6315789,40.14689266,5.286624204,2.140361446,1.774011299,208.279468,1.932833266,0.937058209
113.1578947,40.14689266,5.286624204,2.140361446,1.774011299,208.279468,2.136001862,0.958505754
121.0526316,40.14689266,5.286624204,2.140361446,1.774011299,208.279468,0.61481512,0.970427248
34.60207612,41.2,7.6875,1.674796748,1.6,208.279468,0.838970872,0.923963716
44.98269896,41.2,7.6875,1.674796748,1.6,208.279468,1.171272218,0.837302302
55.3633218,41.2,7.6875,1.674796748,1.6,208.279468,1.439717736,0.767427184
65.74394464,41.2,7.6875,1.674796748,1.6,208.279468,1.816133622,0.761138907
69.20415225,41.2,7.6875,1.674796748,1.6,208.279468,2.306747366,0.789799883
79.58477509,41.2,7.6875,1.674796748,1.6,208.279468,2.709166515,0.856975926
89.96539792,41.2,7.6875,1.674796748,1.6,208.279468,3.116604437,0.902585573
