Fy (ksi),Lb,bf,tf,tw,h0,ry,Mn(Modified),Mn(AISC code),Mn(FE model),Mp,b,Mcr
139.236,340,12.3,0.8,0.5,20.6,2.89,10703.45213,11080.6919170523,10567.0524357839,35226.708,12.3,11470.6750160476
139.236,160,14,1.34,0.75,26.76,3.29,71391.13593,87857.916,78705.1734278122,87857.916,14,136418.290233895
139.236,190,14,1.34,0.75,26.76,3.29,63689.63309,82541.7820964885,74040.7356510186,87857.916,14,100550.49213902
139.236,220,14,1.34,0.75,26.76,3.29,56223.60117,73118.8160782592,64081.7139946856,87857.916,14,78195.5726953956
139.236,250,14,1.34,0.75,26.76,3.29,49532.26259,59932.4931026639,52471.0230292294,87857.916,14,63274.6327490238
139.236,290,14,1.34,0.75,26.76,3.29,42081.27603,47440.4093256078,36870.9403454384,87857.916,14,49961.6016257051
139.236,320,14,1.34,0.75,26.76,3.29,37529.53439,40872.1898834648,32049.0855624446,87857.916,14,42971.4774918603
139.236,360,14,1.34,0.75,26.76,3.29,32604.04411,34414.994993411,32798.1268379097,87857.916,14,36109.5461034279
139.236,390,14,1.34,0.75,26.76,3.29,29599.22182,30738.7343165686,27130.7265279008,87857.916,14,32208.9289087408
139.236,400,14,1.34,0.75,26.76,3.29,28706.20486,29678.7543582458,24737.665190434,87857.916,14,31085.2775530879
139.236,130,12.8,0.85,0.55,23.45,2.94,38580.93635,45530.172,45287.8512843224,45530.172,12.8,81932.4398796475
139.236,160,12.8,0.85,0.55,23.45,2.94,33886.97533,43857.9603723905,41179.2269264836,45530.172,12.8,55433.8669254073
139.236,190,12.8,0.85,0.55,23.45,2.94,29100.39323,38147.2794193041,34394.5472099203,45530.172,12.8,40432.1528018867
139.236,200,12.8,0.85,0.55,23.45,2.94,27596.01855,35306.7105918077,30921.5190434012,45530.172,12.8,36858.9501314927
139.236,230,12.8,0.85,0.55,23.45,2.94,23517.64041,27595.6812147709,22988.1923826395,45530.172,12.8,28774.1329751294
139.236,260,12.8,0.85,0.55,23.45,2.94,20142.32387,22369.3414745919,18671.2160318866,45530.172,12.8,23296.5530369561
139.236,290,12.8,0.85,0.55,23.45,2.94,17411.78971,18654.631354235,13886.7694419841,45530.172,12.8,19405.1047053259
139.236,310,12.8,0.85,0.55,23.45,2.94,15894.80409,16741.1796072585,14703.0734720992,45530.172,12.8,17401.5371095981
139.236,340,12.8,0.85,0.55,23.45,2.94,13990.22668,14461.4705390277,10801.1193976971,45530.172,12.8,15015.6480584542
139.236,130,13,1.22,0.705,23.78,3.05,56473.07021,65162.448,67624.0240921169,65162.448,13,128674.001737178
139.236,160,13,1.22,0.705,23.78,3.05,50590.87049,65162.448,62037.823914969,65162.448,13,88435.4260308947
139.236,190,13,1.22,0.705,23.78,3.05,44476.35947,65162.448,55873.13255093,65162.448,13,65576.2649415907
139.236,200,13,1.22,0.705,23.78,3.05,42521.92089,64500.1700433285,54230.4623560673,65162.448,13,60114.0348373952
139.236,230,13,1.22,0.705,23.78,3.05,37127.26742,59232.6446305183,48223.0192648361,65162.448,13,47710.4864841595
139.236,260,13,1.22,0.705,23.78,3.05,32538.46317,53965.119217708,42882.8604960142,65162.448,13,39250.3607573115
139.236,290,13,1.22,0.705,23.78,3.05,28727.89397,31724.9789299889,28511.9330823738,65162.448,13,33192.3119520589
139.236,310,13,1.22,0.705,23.78,3.05,26566.77053,28750.6905994374,28717.7821966342,65162.448,13,30049.920974413
139.236,340,13,1.22,0.705,23.78,3.05,23802.16193,25177.492528867,23646.500088574,65162.448,13,26278.6907037568
139.236,120,10.5,0.76,0.545,29.04,2.15,35739.84631,48175.656,37383.1530558016,48175.656,10.5,58197.1727005815
139.236,140,10.5,0.76,0.545,29.04,2.15,31032.92372,46328.1507176802,36384.7463241807,48175.656,10.5,43393.8357610802
139.236,160,10.5,0.76,0.545,29.04,2.15,26691.38745,42284.6396159929,32679.6534986714,48175.656,10.5,33777.1590434742
139.236,180,10.5,0.76,0.545,29.04,2.15,22938.06089,26485.9726738227,26417.2711248893,48175.656,10.5,27175.4825500464
139.236,200,10.5,0.76,0.545,29.04,2.15,19802.78098,21886.5320748623,19240.5562444641,48175.656,10.5,22445.1275016149
139.236,230,10.5,0.76,0.545,29.04,2.15,16113.41664,17090.6170009326,15866.4114703277,48175.656,10.5,17513.454118696
139.236,260,10.5,0.76,0.545,29.04,2.15,13370.7183,13841.0311692308,11918.2019486271,48175.656,10.5,14172.6720144263
139.236,290,10.5,0.76,0.545,29.04,2.15,11308.83576,11532.1726072417,8885.35983170948,48175.656,10.5,11799.7090996251
139.236,140,10,0.745,0.49,26.155,2.12,24392.14677,36912.4249982013,29235.7374667848,38707.608,10,33514.034112772
139.236,160,10,0.745,0.49,26.155,2.12,20925.29906,33620.1828966854,25814.4092116918,38707.608,10,26150.3823730462
