Fy (ksi),Lb,bf,tf,tw,h0,ry,Mn(Modified),Mn(AISC code),Mn(FE model),Mp,b,Mcr
100.076,430,16.6,1.57,0.885,35.53,3.8,53135.27894,58953.4137903942,34288.4049069974,119090.44,16.6,61614.4403497894
100.076,460,16.6,1.57,0.885,35.53,3.8,49142.04576,53398.895814476,21480.087068202,119090.44,16.6,55753.902712417
100.076,160,12.3,0.8,0.5,20.6,2.89,20865.11587,25319.228,21867.8476527901,25319.228,12.3,41181.8564004892
100.076,190,12.3,0.8,0.5,20.6,2.89,18678.33586,24391.1113883706,20327.4411426041,25319.228,12.3,30178.9118444904
100.076,230,12.3,0.8,0.5,20.6,2.89,15828.82447,20798.7087274116,19550.519486271,25319.228,12.3,21616.8603730227
100.076,260,12.3,0.8,0.5,20.6,2.89,13941.8471,16940.4173600024,14556.584765279,25319.228,12.3,17586.2444182523
100.076,300,12.3,0.8,0.5,20.6,2.89,11841.28105,13449.1239849642,10735.3246235607,25319.228,12.3,13941.2803601263
100.076,350,12.3,0.8,0.5,20.6,2.89,9818.668616,10606.3455761828,9695.80881310895,25319.228,12.3,10976.159926522
100.076,390,12.3,0.8,0.5,20.6,2.89,8580.204996,9041.53987003469,8056.43398139947,25319.228,12.3,9345.76293460406
100.076,430,12.3,0.8,0.5,20.6,2.89,7593.545569,7867.74454306171,7597.05394596989,25319.228,12.3,8123.97868002993
100.076,460,12.3,0.8,0.5,20.6,2.89,6981.199311,7166.38550774325,5628.60400354296,25319.228,12.3,7394.59375425785
100.076,160,14,1.34,0.75,26.76,3.29,55786.29351,63147.956,61167.969530558,63147.956,14,136418.290233895
100.076,190,14,1.34,0.75,26.76,3.29,51710.42843,63147.956,57086.4718777679,63147.956,14,100550.49213902
100.076,230,14,1.34,0.75,26.76,3.29,45864.13624,59714.5867163152,50315.7126660762,63147.956,14,72584.8482584381
100.076,260,14,1.34,0.75,26.76,3.29,41630.14372,54318.4152991183,42755.0505757307,63147.956,14,59384.3344353482
100.076,300,14,1.34,0.75,26.76,3.29,36553.2975,45042.4780984179,35292.1076173605,63147.956,14,47408.6627116152
100.076,350,14,1.34,0.75,26.76,3.29,31284.93481,35837.5026918181,32378.813108946,63147.956,14,37620.1648578001
100.076,390,14,1.34,0.75,26.76,3.29,27868.29303,30738.7343165686,27058.7786093888,63147.956,14,32208.9289087408
100.076,430,14,1.34,0.75,26.76,3.29,25039.86562,26892.3190234169,25409.3703277237,63147.956,14,28134.0041002221
100.076,460,14,1.34,0.75,26.76,3.29,23236.13723,24582.5626120264,18960.6275465013,63147.956,14,25690.7900079982
100.076,160,12.8,0.85,0.55,23.45,2.94,27283.74041,32724.852,29474.0790079717,32724.852,12.8,55433.8669254073
100.076,190,12.8,0.85,0.55,23.45,2.94,24502.9771,31785.3364925729,28381.6034100974,32724.852,12.8,40432.1528018867
100.076,230,12.8,0.85,0.55,23.45,2.94,20801.14297,27306.5892841744,25649.3035872454,32724.852,12.8,28774.1329751294
100.076,260,12.8,0.85,0.55,23.45,2.94,18311.87403,22369.3414745919,22453.1612931798,32724.852,12.8,23296.5530369561
100.076,300,12.8,0.85,0.55,23.45,2.94,15515.82905,17651.4835003288,14279.9069973428,32724.852,12.8,18354.6166821408
100.076,350,12.8,0.85,0.55,23.45,2.94,12808.9731,13824.0789007536,11178.8403454384,32724.852,12.8,14348.8644248627
100.076,390,12.8,0.85,0.55,23.45,2.94,11149.73067,11726.2402383772,10656.1886625332,32724.852,12.8,12155.4975881404
100.076,430,12.8,0.85,0.55,23.45,2.94,9829.607794,10158.8531761507,7940.21660761736,32724.852,12.8,10518.3193210649
100.076,460,12.8,0.85,0.55,23.45,2.94,9012.077041,9225.67783168604,8197.94561558902,32724.852,12.8,9544.45568557189
100.076,160,13,1.22,0.705,23.78,3.05,40166.5607,46835.568,45008.1700620018,46835.568,13,88435.4260308947
100.076,190,13,1.22,0.705,23.78,3.05,36772.08905,46835.568,42946.9116917626,46835.568,13,65576.2649415907
100.076,230,13,1.22,0.705,23.78,3.05,32160.4754,42919.2439023873,37637.4342781222,46835.568,13,47710.4864841595
100.076,260,13,1.22,0.705,23.78,3.05,28968.98191,38828.1516967515,34545.2373782108,46835.568,13,39250.3607573115
100.076,300,13,1.22,0.705,23.78,3.05,25268.62035,30168.1082240825,25387.7949512843,46835.568,13,31547.1235767527
100.076,350,13,1.22,0.705,23.78,3.05,21539.66192,24171.235425322,21679.513064659,46835.568,13,25217.5985209657
100.076,390,13,1.22,0.705,23.78,3.05,19165.70126,20830.5720675027,18072.3081045173,46835.568,13,21698.5170731121
100.076,430,13,1.22,0.705,23.78,3.05,17219.26361,18297.9418816168,17027.2915854739,46835.568,13,19035.1226980032
100.076,460,13,1.22,0.705,23.78,3.05,15984.42943,16770.6559947123,15087.0038086802,46835.568,13,17431.2804046404
100.076,120,10.5,0.76,0.545,29.04,2.15,28805.6624,34626.296,26529.7488042515,34626.296,10.5,58197.1727005815
100.076,140,10.5,0.76,0.545,29.04,2.15,26075.5888,33782.3302217179,29389.5998228521,34626.296,10.5,43393.8357610802
100.076,160,10.5,0.76,0.545,29.04,2.15,23265.66436,30627.1176467601,23444.0425155004,34626.296,10.5,33777.1590434742
100.076,180,10.5,0.76,0.545,29.04,2.15,20599.70004,26485.9726738227,24112.4404782994,34626.296,10.5,27175.4825500464
100.076,200,10.5,0.76,0.545,29.04,2.15,18201.47913,21886.5320748623,21832.7511071745,34626.296,10.5,22445.1275016149
100.076,230,10.5,0.76,0.545,29.04,2.15,15182.3337,17090.6170009326,15740.4126217892,34626.296,10.5,17513.454118696
100.076,260,10.5,0.76,0.545,29.04,2.15,12805.65281,13841.0311692308,11887.2,34626.296,10.5,14172.6720144263
100.076,290,10.5,0.76,0.545,29.04,2.15,10949.82439,11532.1726072417,11053.2408325952,34626.296,10.5,11799.7090996251
100.076,140,10,0.745,0.49,26.155,2.12,20615.35614,26885.1232664737,21828.3752878654,27821.128,10,33514.034112772
100.076,160,10,0.745,0.49,26.155,2.12,18336.3504,24312.3617079226,19956.79574845,27821.128,10,26150.3823730462
100.076,180,10,0.745,0.49,26.155,2.12,16203.44581,20496.4358582017,17628.2186891054,27821.128,10,21093.2559939283
100.076,230,10,0.745,0.49,26.155,2.12,11936.84781,13318.0367701042,13550.3094331267,27821.128,10,13684.5379279178
100.076,290,10,0.745,0.49,26.155,2.12,8644.863087,9060.20681249552,8432.03113817538,27821.128,10,9292.75895692078
100.076,190,15.8,1.58,0.83,38.12,3.58,106201.7398,125095,116272.830823738,125095,15.8,226770.317153377
100.076,230,15.8,1.58,0.83,38.12,3.58,95065.49407,124701.764338959,97573.1719663419,125095,15.8,160427.319634047
100.076,260,15.8,1.58,0.83,38.12,3.58,86512.13436,114821.616206436,96002.2134632418,125095,15.8,129302.130477284
100.076,300,15.8,1.58,0.83,38.12,3.58,75821.67376,97198.5523234981,83270.097874225,125095,15.8,101273.120580855
100.076,350,15.8,1.58,0.83,38.12,3.58,64366.62319,75597.7386254591,62346.5385296723,125095,15.8,78621.286286638
100.076,390,15.8,1.58,0.83,38.12,3.58,56824.82005,63801.8338522104,57555.7025686448,125095,15.8,66262.5653509353
100.076,430,15.8,1.58,0.83,38.12,3.58,50562.09819,55019.9209814994,41755.6089459699,125095,15.8,57069.7659305951
100.076,460,15.8,1.58,0.83,38.12,3.58,46576.74914,49808.631797025,41727.0930026572,125095,15.8,51619.1784426203
100.076,180,12.9,2.07,1.29,13.03,3.31,36007.41784,38629.336,33781.0663418955,38629.336,12.9,117571.101744134
100.076,250,12.9,2.07,1.29,13.03,3.31,33818.90408,38629.336,30170.6554472985,38629.336,12.9,79874.4748935812
100.076,300,12.9,2.07,1.29,13.03,3.31,32173.95802,38629.336,34454.6837909655,38629.336,12.9,65199.7397538503
100.076,390,12.9,2.07,1.29,13.03,3.31,29268.15821,38629.336,30490.3433569531,38629.336,12.9,49161.2658583284
100.076,590,12.9,2.07,1.29,13.03,3.31,23711.5394,31435.1791210526,24312.2961824624,38629.336,12.9,31951.1569685417
100.076,650,12.9,2.07,1.29,13.03,3.31,22327.95005,26377.4166118427,18510.4299822852,38629.336,12.9,28933.5267895907
100.076,690,12.9,2.07,1.29,13.03,3.31,21473.6619,24822.1851383246,19540.7526350753,38629.336,12.9,27222.2725542448
100.076,730,12.9,2.07,1.29,13.03,3.31,20670.51016,23441.31390888,20486.1180248007,38629.336,12.9,25703.6508762108
100.076,780,12.9,2.07,1.29,13.03,3.31,19733.82687,21918.4457455499,18423.8438795394,38629.336,12.9,24029.6777172125
100.076,820,12.9,2.07,1.29,13.03,3.31,19034.54759,20836.3219046072,15627.1801417183,38629.336,12.9,22840.6739631857
100.076,160,15.1,1.5,0.83,29.8,3.51,76585.62766,84764.372,84132.4492471214,84764.372,15.1,207048.186568712
100.076,190,15.1,1.5,0.83,29.8,3.51,71760.9452,84764.372,76142.2256864482,84764.372,15.1,151994.215291313
100.076,230,15.1,1.5,0.83,29.8,3.51,64514.03026,84764.372,69308.2926926484,84764.372,15.1,109129.623958943
100.076,260,15.1,1.5,0.83,29.8,3.51,59044.5212,78734.6514528626,64854.6141718335,84764.372,15.1,88935.349469261
100.076,300,15.1,1.5,0.83,29.8,3.51,52266.00571,70169.8135827976,53515.1452612932,84764.372,15.1,70656.3430537554
100.076,350,15.1,1.5,0.83,29.8,3.51,45010.20049,53415.0022802225,43773.2103631532,84764.372,15.1,55765.8428440144
100.076,390,15.1,1.5,0.83,29.8,3.51,40203.49311,45632.8768213076,45825.9983170948,84764.372,15.1,47565.0796618288
100.076,430,15.1,1.5,0.83,29.8,3.51,36175.31134,39784.2728046226,30379.4124003543,84764.372,15.1,41410.5437715242
100.076,460,15.1,1.5,0.83,29.8,3.51,33587.45226,36283.7706526029,28537.0574844996,84764.372,15.1,37731.5439663666
100.076,190,15.7,1.15,0.715,32.55,3.56,65221.3874,77358.748,67498.3852081488,77358.748,15.7,136542.663769311
100.076,230,15.7,1.15,0.715,32.55,3.56,58009.35031,76103.9529225129,63330.4623117803,77358.748,15.7,95930.4526479232
100.076,260,15.7,1.15,0.715,32.55,3.56,52479.20923,69777.6982994206,61351.832683791,77358.748,15.7,76904.135497707
100.076,300,15.7,1.15,0.715,32.55,3.56,45599.05646,57339.2270648089,52254.0318866253,77358.748,15.7,59801.992632879
100.076,350,15.7,1.15,0.715,32.55,3.56,38287.25282,44197.17988738,34591.4703277237,77358.748,15.7,46022.4910464904
100.076,390,15.7,1.15,0.715,32.55,3.56,33518.7338,37049.4664644308,27800.6318423384,77358.748,15.7,38532.781736271
100.076,430,15.7,1.15,0.715,32.55,3.56,29592.7804,31749.4697363363,29572.113108946,77358.748,15.7,32982.7483850394
100.076,460,15.7,1.15,0.715,32.55,3.56,27112.9677,28616.4188975979,21599.3590788308,77358.748,15.7,29703.9248611681
100.076,120,12.5,1.15,0.72,20.95,2.95,34789.41731,37328.348,38052.2821966342,37328.348,12.5,113465.639870038
100.076,160,12.5,1.15,0.72,20.95,2.95,31730.05941,37328.348,29350.7911426041,37328.348,12.5,68000.0417503243
100.076,190,12.5,1.15,0.72,20.95,2.95,29018.78017,37328.348,28795.8101417183,37328.348,12.5,50841.2821969976
100.076,230,12.5,1.15,0.72,20.95,2.95,25414.89224,34031.4693479291,27948.8472542073,37328.348,12.5,37377.985648151
100.076,260,12.5,1.15,0.72,20.95,2.95,22954.26441,30802.6304109213,26030.230469442,37328.348,12.5,30970.450670057
100.076,300,12.5,1.15,0.72,20.95,2.95,20118.09546,23787.5331007474,21006.6324180691,37328.348,12.5,25103.8718854878
100.076,350,12.5,1.15,0.72,20.95,2.95,17262.22755,19236.9052622029,16436.8540744021,37328.348,12.5,20246.6289843129
100.076,390,12.5,1.15,0.72,20.95,2.95,15437.58447,16679.9649967682,15693.6397254207,37328.348,12.5,17524.5949371304
100.076,430,12.5,1.15,0.72,20.95,2.95,13933.98064,14727.415213643,11851.1922940655,37328.348,12.5,15450.5085735667
100.076,460,12.5,1.15,0.72,20.95,2.95,12975.28846,13542.8296501203,12150.480336581,37328.348,12.5,14194.4483204195
100.076,120,11.4,1.59,0.89,18.41,2.76,37028.91526,39830.248,40113.1243578388,39830.248,11.4,118607.649778694
100.076,160,11.4,1.59,0.89,18.41,2.76,34195.8453,39830.248,33479.0448184234,39830.248,11.4,75547.7083284262
100.076,190,11.4,1.59,0.89,18.41,2.76,31851.45234,39830.248,32415.9513286094,39830.248,11.4,58842.7482114928
100.076,230,11.4,1.59,0.89,18.41,2.76,28799.28565,38816.8267964779,31482.8950398583,39830.248,11.4,45318.7399730794
100.076,260,11.4,1.59,0.89,18.41,2.76,26691.90842,36014.7461218,26428.7224977857,39830.248,11.4,38654.4474867391
100.076,300,11.4,1.59,0.89,18.41,2.76,24186.23743,32278.6385555628,22758.9286979628,39830.248,11.4,32345.8757601208
100.076,350,11.4,1.59,0.89,18.41,2.76,21530.89921,25297.7617243608,21379.7019486271,39830.248,11.4,26906.4012213552
100.076,390,11.4,1.59,0.89,18.41,2.76,19740.3835,22356.273320511,18136.7980070859,39830.248,11.4,23741.4175704129
100.076,430,11.4,1.59,0.89,18.41,2.76,18197.4359,20042.5291049275,17313.1596988485,39830.248,11.4,21258.9620209057
100.076,460,11.4,1.59,0.89,18.41,2.76,17177.65902,18606.1740645784,18137.6248007086,39830.248,11.4,19721.1232603918
100.076,250,15.7,1.44,0.89,14.06,4.05,30422.77706,35526.98,31863.0513728964,35526.98,15.7,66670.8933002403
100.076,290,15.7,1.44,0.89,14.06,4.05,28812.11944,35526.98,33050.1132860939,35526.98,15.7,54820.7642836616
100.076,330,15.7,1.44,0.89,14.06,4.05,27228.42312,35526.98,27534.9442426926,35526.98,15.7,46575.0776440502
100.076,380,15.7,1.44,0.89,14.06,4.05,25350.82172,34405.3213496156,26484.010806023,35526.98,15.7,39250.2309042204
100.076,450,15.7,1.44,0.89,14.06,4.05,22974.09115,31025.1376572625,23077.4382860939,35526.98,15.7,32229.1337404493
100.076,480,15.7,1.44,0.89,14.06,4.05,22050.29976,29576.4875033969,24662.8015589017,35526.98,15.7,29951.6860107136
100.076,530,15.7,1.44,0.89,14.06,4.05,20632.18974,25167.5781627233,18865.4011691763,35526.98,15.7,26811.9201299913
100.076,560,15.7,1.44,0.89,14.06,4.05,19850.03484,23698.4648780343,19811.2665721878,35526.98,15.7,25232.899308802
100.076,600,15.7,1.44,0.89,14.06,4.05,18881.11972,21993.0093775377,17114.5267493357,35526.98,15.7,23402.3933098104
100.076,100,11.1,0.77,0.48,17.63,2.63,17513.47538,18614.136,19480.4388839681,18614.136,11.1,61614.148186175
100.076,130,11.1,0.77,0.48,17.63,2.63,16228.81765,18614.136,15804.4863153233,18614.136,11.1,37757.270207197
100.076,170,11.1,0.77,0.48,17.63,2.63,14021.02971,18533.380010223,15299.5460141718,18614.136,11.1,23341.967545161
100.076,200,11.1,0.77,0.48,17.63,2.63,12330.76316,16547.5267187551,13717.6873339238,18614.136,11.1,17666.4088390982
100.076,220,11.1,0.77,0.48,17.63,2.63,11288.0608,14445.8067352996,13280.780336581,18614.136,11.1,15082.4805749807
100.076,260,11.1,0.77,0.48,17.63,2.63,9491.736046,11085.5796481065,10735.1558901683,18614.136,11.1,11549.053023547
100.076,280,11.1,0.77,0.48,17.63,2.63,8740.129348,9900.52763468502,8792.6745792737,18614.136,11.1,10304.206509617
100.076,300,11.1,0.77,0.48,17.63,2.63,8076.971798,8933.42571199413,8321.25597874225,18614.136,11.1,9289.03505977533
100.076,330,11.1,0.77,0.48,17.63,2.63,7226.601321,7781.10313422386,8484.45491585474,18614.136,11.1,8080.54568024892
100.076,350,11.1,0.77,0.48,17.63,2.63,6741.709393,7161.09341140673,6433.43866253321,18614.136,11.1,7430.94203944497
100.076,180,15.6,1.19,0.745,13.81,4,26398.44925,28721.812,22382.7544729849,28721.812,15.6,78426.0372393221
100.076,250,15.6,1.19,0.745,13.81,4,23826.50636,28721.812,27495.6687333924,28721.812,15.6,47796.6373965499
100.076,290,15.6,1.19,0.745,13.81,4,22279.14888,28721.812,25513.8275465013,28721.812,15.6,38884.9807546413
100.076,350,15.6,1.19,0.745,13.81,4,20081.37524,27269.6291795985,22744.0632860939,28721.812,15.6,30371.1975779443
100.076,410,15.6,1.19,0.745,13.81,4,18129.89953,24495.0658220253,19463.2280779451,28721.812,15.6,24942.3138375382
100.076,450,15.6,1.19,0.745,13.81,4,16977.03814,21148.1970917942,18814.6506643047,28721.812,15.6,22303.9677230953
100.076,480,15.6,1.19,0.745,13.81,4,16186.38693,19617.5816896422,13736.3829937998,28721.812,15.6,20672.7250286558
100.076,530,15.6,1.19,0.745,13.81,4,14997.54721,17516.9831196578,15044.5600487157,28721.812,15.6,18438.3391671347
100.076,560,15.6,1.19,0.745,13.81,4,14354.2961,16464.8717602283,13301.7707705934,28721.812,15.6,17321.1775392793
100.076,600,15.6,1.19,0.745,13.81,4,13569.21471,15248.8562796073,11419.3023029229,28721.812,15.6,16031.6597312804
100.076,100,8.28,0.935,0.57,8.065,2.12,6516.895381,7015.3276,6570.08458813109,7015.3276,8.28,20760.4308522781
100.076,150,8.28,0.935,0.57,8.065,2.12,5879.073212,7015.3276,6457.00509300266,7015.3276,8.28,12107.3333719142
100.076,190,8.28,0.935,0.57,8.065,2.12,5356.221001,7015.3276,5668.62643932684,7015.3276,8.28,9105.8673923035
100.076,240,8.28,0.935,0.57,8.065,2.12,4760.580242,6449.75886342594,4677.01966341896,7015.3276,8.28,6978.38689229368
100.076,280,8.28,0.935,0.57,8.065,2.12,4344.359994,5812.76690628765,4314.91780336581,7015.3276,8.28,5891.36014653097
100.076,320,8.28,0.935,0.57,8.065,2.12,3980.505572,4766.51654659906,3972.74898139947,7015.3276,8.28,5103.11147193368
100.076,360,8.28,0.935,0.57,8.065,2.12,3663.534677,4210.55603798954,3725.0258635961,7015.3276,8.28,4504.24143753888
100.076,390,8.28,0.935,0.57,8.065,2.12,3452.759138,3873.0564137017,2752.22723649247,7015.3276,8.28,4141.29373849187
100.076,430,8.28,0.935,0.57,8.065,2.12,3202.783036,3500.11361461118,3006.69406554473,7015.3276,8.28,3740.73442446083
100.076,460,8.28,0.935,0.57,8.065,2.12,3035.60144,3264.90166794383,2584.39937998229,7015.3276,8.28,3488.36519622068
100.076,120,10.4,1.25,0.755,10.15,2.68,13836.20819,14711.172,13980.506465899,14711.172,10.4,48523.5814537419
100.076,160,10.4,1.25,0.755,10.15,2.68,13085.77426,14711.172,14253.5170947741,14711.172,10.4,32920.4277182691
100.076,190,10.4,1.25,0.755,10.15,2.68,12474.69432,14711.172,12732.4755535872,14711.172,10.4,26546.3874321868
100.076,230,10.4,1.25,0.755,10.15,2.68,11656.32015,14711.172,13070.3754207263,14711.172,10.4,21146.7291724278
100.076,290,10.4,1.25,0.755,10.15,2.68,10499.34382,14225.6694694125,11446.9858281665,14711.172,10.4,16259.5846132818
100.076,350,10.4,1.25,0.755,10.15,2.68,9472.570309,12739.8549761002,9663.24889282551,14711.172,10.4,13241.2418115023
100.076,390,10.4,1.25,0.755,10.15,2.68,8864.754958,11749.3119805586,9036.92178919398,14711.172,10.4,11793.7065910604
100.076,430,10.4,1.25,0.755,10.15,2.68,8314.824452,9853.83528941538,8078.79734278122,14711.172,10.4,10636.6571225999
100.076,480,10.4,1.25,0.755,10.15,2.68,7701.373074,8787.22505117255,7515.52028343667,14711.172,10.4,9479.21503210356
100.076,500,10.4,1.25,0.755,10.15,2.68,7476.88484,8423.41313730347,6340.43844109832,14711.172,10.4,9084.86774517286
100.076,70,5.5,0.345,0.25,15.355,1.12,3416.907613,4399.55130571425,3466.15509300266,4423.3592,5.5,5921.51447235096
100.076,80,5.5,0.345,0.25,15.355,1.12,3064.777554,4004.62589663363,3293.49583702392,4423.3592,5.5,4589.75964391936
100.076,90,5.5,0.345,0.25,15.355,1.12,2722.688205,3609.70048755301,2900.42577502214,4423.3592,5.5,3676.06684371079
100.076,120,5.5,0.345,0.25,15.355,1.12,1892.608778,2135.9780921255,1827.72010628875,4423.3592,5.5,2168.03383575033
100.076,140,5.5,0.345,0.25,15.355,1.12,1513.460136,1627.52052059939,1426.63633303809,4423.3592,5.5,1651.15890029733
100.076,160,5.5,0.345,0.25,15.355,1.12,1238.273437,1295.60709580436,1184.73339238264,4423.3592,5.5,1313.80299935702
100.076,180,5.5,0.345,0.25,15.355,1.12,1036.017019,1066.3129730463,911.160318866253,4423.3592,5.5,1080.79398745003
100.076,200,5.5,0.345,0.25,15.355,1.12,884.2632658,900.735574143487,674.033658104517,4423.3592,5.5,912.572070398066
100.076,190,16.5,1.26,0.76,35.24,3.71,82975.45685,96373.188,97648.8095217006,96373.188,16.5,184987.671283814
100.076,230,16.5,1.26,0.76,35.24,3.71,74604.1407,96373.188,88282.2445527015,96373.188,16.5,129758.407869705
100.076,270,16.5,1.26,0.76,35.24,3.71,65821.83213,87425.5654493029,69511.0539858282,96373.188,16.5,97111.9955277485
100.076,310,16.5,1.26,0.76,35.24,3.71,57584.94468,73737.7912583938,63194.6038086803,96373.188,16.5,76183.3987929961
100.076,350,16.5,1.26,0.76,35.24,3.71,50360.00209,60005.5408155392,52888.6100531444,96373.188,16.5,61934.4154243699
100.076,390,16.5,1.26,0.76,35.24,3.71,44244.90672,50205.9743427964,47685.0184676705,96373.188,16.5,51770.2872716638
100.076,430,16.5,1.26,0.76,35.24,3.71,39150.85032,42946.8199248051,39572.1763507529,96373.188,16.5,44244.6652255834
100.076,460,16.5,1.26,0.76,35.24,3.71,35908.87588,38659.7458927994,32087.2755535873,96373.188,16.5,39802.2914685109
100.076,80,7.07,0.63,0.38,15.67,1.59,8013.496785,9206.992,7717.82037201063,9206.992,7.07,18531.5655231412
100.076,100,7.07,0.63,0.38,15.67,1.59,7112.756514,9206.992,7752.84942426927,9206.992,7.07,12328.314238928
100.076,120,7.07,0.63,0.38,15.67,1.59,6172.616344,8198.85142896841,6431.84694419841,9206.992,7.07,8942.61334332007
100.076,130,7.07,0.63,0.38,15.67,1.59,5729.748809,7652.38783223101,6398.83144375554,9206.992,7.07,7798.30559129646
100.076,160,7.07,0.63,0.38,15.67,1.59,4593.313568,5312.41201538482,4856.01204605846,9206.992,7.07,5538.80098642109
100.076,190,7.07,0.63,0.38,15.67,1.59,3748.228501,4073.45723723648,3843.59481842338,9206.992,7.07,4238.12450546957
100.076,230,7.07,0.63,0.38,15.67,1.59,2963.663357,3084.84306000978,2711.69185119575,9206.992,7.07,3202.01989571337
100.076,260,7.07,0.63,0.38,15.67,1.59,2548.089553,2605.01122483507,2049.78449955713,9206.992,7.07,2700.07659180933
100.076,290,7.07,0.63,0.38,15.67,1.59,2230.429293,2253.81203307758,1824.86288751107,9206.992,7.07,2333.26065297847
100.076,100,8.27,0.685,0.43,20.415,1.8,13289.61182,16012.16,13994.0163861825,16012.16,8.27,26692.2355726477
100.076,120,8.27,0.685,0.43,20.415,1.8,11798.99264,15424.3003316781,13561.0352524358,16012.16,8.27,19034.2649982646
100.076,140,8.27,0.685,0.43,20.415,1.8,10307.35859,13695.3369750837,10695.7172719221,16012.16,8.27,14404.7744089955
100.076,160,8.27,0.685,0.43,20.415,1.8,8954.754977,10985.6010302991,10363.649955713,16012.16,8.27,11388.7581557103
100.076,180,8.27,0.685,0.43,20.415,1.8,7795.020392,8990.58556127946,9601.50372010629,16012.16,8.27,9310.48195463137
100.076,200,8.27,0.685,0.43,20.415,1.8,6827.905582,7553.65276987726,6182.27900797166,16012.16,8.27,7814.23975509954
100.076,230,8.27,0.685,0.43,20.415,1.8,5685.243837,6043.9041427663,4758.33228520815,16012.16,8.27,6243.17257117581
100.076,260,8.27,0.685,0.43,20.415,1.8,4827.052082,5009.48529746617,4499.08467670505,16012.16,8.27,5167.69519099969
100.076,290,8.27,0.685,0.43,20.415,1.8,4172.988353,4265.03943999276,3386.95726306466,16012.16,8.27,4394.4517093822
