Lb/ry,h/tw,B/2t,h/B,tf/tw,E/Fy,Mp/Mcr,Mn/Mp (Formula),Mn/Mp (FEM)
68.02721088,42.63636364,42.63636364,42.63636364,1.545454545,208.279468,1.235254174,0.606103982,0.679143471
78.23129252,42.63636364,42.63636364,42.63636364,1.545454545,208.279468,1.582329936,0.516528697,0.504900188
88.43537415,42.63636364,42.63636364,42.63636364,1.545454545,208.279468,1.954373762,0.442395075,0.410084461
98.63945578,42.63636364,42.63636364,42.63636364,1.545454545,208.279468,2.346298703,0.382423104,0.305001471
105.4421769,42.63636364,42.63636364,42.63636364,1.545454545,208.279468,2.616445416,0.349104855,0.32293033
115.6462585,42.63636364,42.63636364,42.63636364,1.545454545,208.279468,3.032181616,0.30727375,0.237229927
42.62295082,33.73049645,33.73049645,33.73049645,1.730496454,208.279468,0.506415027,0.866650532,1.037775992
52.45901639,33.73049645,33.73049645,33.73049645,1.730496454,208.279468,0.73683648,0.776380754,0.9520487
62.29508197,33.73049645,33.73049645,33.73049645,1.730496454,208.279468,0.993689532,0.682545865,0.857443731
65.57377049,33.73049645,33.73049645,33.73049645,1.730496454,208.279468,1.083980607,0.652552539,0.832234884
75.40983607,33.73049645,33.73049645,33.73049645,1.730496454,208.279468,1.365788798,0.569764773,0.740043088
85.24590164,33.73049645,33.73049645,33.73049645,1.730496454,208.279468,1.660174499,0.499343781,0.658091613
95.08196721,33.73049645,33.73049645,33.73049645,1.730496454,208.279468,1.963178946,0.440865788,0.437551595
101.6393443,33.73049645,33.73049645,33.73049645,1.730496454,208.279468,2.16847319,0.407700621,0.44071061
111.4754098,33.73049645,33.73049645,33.73049645,1.730496454,208.279468,2.479668745,0.365274213,0.362885386
55.81395349,53.28440367,53.28440367,53.28440367,1.394495413,208.279468,0.827800626,0.741865275,0.775976004
65.11627907,53.28440367,53.28440367,53.28440367,1.394495413,208.279468,1.110195841,0.644161934,0.755251705
74.41860465,53.28440367,53.28440367,53.28440367,1.394495413,208.279468,1.4262791,0.554043051,0.678343716
83.72093023,53.28440367,53.28440367,53.28440367,1.394495413,208.279468,1.77276175,0.476133857,0.548353117
93.02325581,53.28440367,53.28440367,53.28440367,1.394495413,208.279468,2.146374798,0.411053686,0.399383378
106.9767442,53.28440367,53.28440367,53.28440367,1.394495413,208.279468,2.75077981,0.334472179,0.329345001
120.9302326,53.28440367,53.28440367,53.28440367,1.394495413,208.279468,3.3991936,0.27754097,0.247390548
