Lb,d,bf,tw,tf,bf/2tf,h/tw,Zx*10^3,Iy*10^6,ry,J*10^3,Cw*10^9,E*10^3,Fy,G*10^3,Mp,Mcr,Lb/ry,h/tw,B/2t,h/B,tf/tw,E/Fy,Mp/Mcr
15000,998,434,38.1,68.0,3.19,21.4,34900,937,101.0,107000,202000,200,960,76.92,33504,11878.98,148.51,21.4,3.19,2.14,1.79,208.33,2.820444434
20000,998,434,38.1,68.0,3.19,21.4,34900,937,101.0,107000,202000,200,960,76.92,33504,8557.00,198.02,21.4,3.19,2.14,1.79,208.33,3.915391608
4000,988,432,34.5,62.1,3.48,23.6,31300,828,99.6,80700,178000,200,960,76.92,30048,70269.65,40.16,23.6,3.48,2.14,1.80,208.33,0.4276099378
8000,988,432,34.5,62.1,3.48,23.6,31300,828,99.6,80700,178000,200,960,76.92,30048,22641.87,80.32,23.6,3.48,2.14,1.80,208.33,1.327098744
10000,988,432,34.5,62.1,3.48,23.6,31300,828,99.6,80700,178000,200,960,76.92,30048,16512.55,100.40,23.6,3.48,2.14,1.80,208.33,1.81970638
12000,988,432,34.5,62.1,3.48,23.6,31300,828,99.6,80700,178000,200,960,76.92,30048,12978.40,120.48,23.6,3.48,2.14,1.80,208.33,2.315231533
15000,988,432,34.5,62.1,3.48,23.6,31300,828,99.6,80700,178000,200,960,76.92,30048,9841.28,150.60,23.6,3.48,2.14,1.80,208.33,3.053260107
20000,988,432,34.5,62.1,3.48,23.6,31300,828,99.6,80700,178000,200,960,76.92,30048,7048.97,200.80,23.6,3.48,2.14,1.80,208.33,4.262749843
4000,975,427,31.0,55.7,3.83,26.3,28000,728,98.6,59100,154000,200,960,76.92,26880,60241.30,40.57,26.3,3.83,2.15,1.80,208.33,0.4462054853
8000,975,427,31.0,55.7,3.83,26.3,28000,728,98.6,59100,154000,200,960,76.92,26880,18926.01,81.14,26.3,3.83,2.15,1.80,208.33,1.420267395
10000,975,427,31.0,55.7,3.83,26.3,28000,728,98.6,59100,154000,200,960,76.92,26880,13677.59,101.42,26.3,3.83,2.15,1.80,208.33,1.965259009
12000,975,427,31.0,55.7,3.83,26.3,28000,728,98.6,59100,154000,200,960,76.92,26880,10677.42,121.70,26.3,3.83,2.15,1.80,208.33,2.517462801
15000,975,427,31.0,55.7,3.83,26.3,28000,728,98.6,59100,154000,200,960,76.92,26880,8039.60,152.13,26.3,3.83,2.15,1.80,208.33,3.343449344
20000,975,427,31.0,55.7,3.83,26.3,28000,728,98.6,59100,154000,200,960,76.92,26880,5719.54,202.84,26.3,3.83,2.15,1.80,208.33,4.699676669
4000,965,424,28.4,51.0,4.16,28.6,25400,653,97.8,45400,137000,200,960,76.92,24384,53098.94,40.90,28.6,4.16,2.16,1.79,208.33,0.4592181702
8000,965,424,28.4,51.0,4.16,28.6,25400,653,97.8,45400,137000,200,960,76.92,24384,16332.37,81.80,28.6,4.16,2.16,1.79,208.33,1.492986083
10000,965,424,28.4,51.0,4.16,28.6,25400,653,97.8,45400,137000,200,960,76.92,24384,11707.66,102.25,28.6,4.16,2.16,1.79,208.33,2.082738419
12000,965,424,28.4,51.0,4.16,28.6,25400,653,97.8,45400,137000,200,960,76.92,24384,9082.62,122.70,28.6,4.16,2.16,1.79,208.33,2.684688129
15000,965,424,28.4,51.0,4.16,28.6,25400,653,97.8,45400,137000,200,960,76.92,24384,6793.35,153.37,28.6,4.16,2.16,1.79,208.33,3.589393696
20000,965,424,28.4,51.0,4.16,28.6,25400,653,97.8,45400,137000,200,960,76.92,24384,4801.17,204.50,28.6,4.16,2.16,1.79,208.33,5.078758779
4000,958,422,25.9,47.0,4.49,31.4,23100,591,97.3,35100,122000,200,960,76.92,22176,47128.65,41.11,31.4,4.49,2.16,1.81,208.33,0.4705418052
8000,958,422,25.9,47.0,4.49,31.4,23100,591,97.3,35100,122000,200,960,76.92,22176,14218.42,82.22,31.4,4.49,2.16,1.81,208.33,1.559666614
10000,958,422,25.9,47.0,4.49,31.4,23100,591,97.3,35100,122000,200,960,76.92,22176,10112.64,102.77,31.4,4.49,2.16,1.81,208.33,2.19289869
12000,958,422,25.9,47.0,4.49,31.4,23100,591,97.3,35100,122000,200,960,76.92,22176,7796.64,123.33,31.4,4.49,2.16,1.81,208.33,2.844302001
15000,958,422,25.9,47.0,4.49,31.4,23100,591,97.3,35100,122000,200,960,76.92,22176,5791.99,154.16,31.4,4.49,2.16,1.81,208.33,3.82873308
20000,958,422,25.9,47.0,4.49,31.4,23100,591,97.3,35100,122000,200,960,76.92,22176,4065.30,205.55,31.4,4.49,2.16,1.81,208.33,5.454947189
4000,947,424,24.0,42.7,4.96,33.9,21000,541,97.0,26800,111000,200,960,76.92,20160,42480.97,41.24,33.9,4.96,2.13,1.78,208.33,0.4745654841
