Lb,d,bf,tw,tf,bf/2tf,h/tw,Zx*10^3,Iy*10^6,ry,J*10^3,Cw*10^9,E*10^3,Fy,G*10^3,Mp,Mcr,Lb/ry,h/tw,B/2t,h/B,tf/tw,E/Fy,Mp/Mcr
30000,584,320,23.1,41.5,3.86,20.6,8690,226,76.7,17000,16600,200,960,76.92,8342.4,1069.27,391.13,20.6,3.86,1.70,1.79,208.33,7.801983284
3000,577,318,21.1,37.7,4.22,22.6,7800,201,76.2,12800,14600,200,960,76.92,7488,17797.27,39.37,22.6,4.22,1.70,1.79,208.33,0.4207386381
3500,577,318,21.1,37.7,4.22,22.6,7800,201,76.2,12800,14600,200,960,76.92,7488,13619.45,45.93,22.6,4.22,1.70,1.79,208.33,0.5498020992
4000,577,318,21.1,37.7,4.22,22.6,7800,201,76.2,12800,14600,200,960,76.92,7488,10888.10,52.49,22.6,4.22,1.70,1.79,208.33,0.6877230416
4500,577,318,21.1,37.7,4.22,22.6,7800,201,76.2,12800,14600,200,960,76.92,7488,8997.72,59.06,22.6,4.22,1.70,1.79,208.33,0.8322109363
5000,577,318,21.1,37.7,4.22,22.6,7800,201,76.2,12800,14600,200,960,76.92,7488,7629.69,65.62,22.6,4.22,1.70,1.79,208.33,0.9814285445
30000,577,318,21.1,37.7,4.22,22.6,7800,201,76.2,12800,14600,200,960,76.92,7488,876.99,393.70,22.6,4.22,1.70,1.79,208.33,8.538251475
3000,572,315,19.1,34.5,4.57,25.0,7080,181,75.9,9820,13000,200,960,76.92,6796.8,15674.92,39.53,25.0,4.57,1.71,1.80,208.33,0.4336099742
3500,572,315,19.1,34.5,4.57,25.0,7080,181,75.9,9820,13000,200,960,76.92,6796.8,11943.83,46.11,25.0,4.57,1.71,1.80,208.33,0.5690636788
4000,572,315,19.1,34.5,4.57,25.0,7080,181,75.9,9820,13000,200,960,76.92,6796.8,9508.22,52.70,25.0,4.57,1.71,1.80,208.33,0.7148342825
4500,572,315,19.1,34.5,4.57,25.0,7080,181,75.9,9820,13000,200,960,76.92,6796.8,7825.62,59.29,25.0,4.57,1.71,1.80,208.33,0.8685316324
5000,572,315,19.1,34.5,4.57,25.0,7080,181,75.9,9820,13000,200,960,76.92,6796.8,6610.58,65.88,25.0,4.57,1.71,1.80,208.33,1.028170414
30000,572,315,19.1,34.5,4.57,25.0,7080,181,75.9,9820,13000,200,960,76.92,6796.8,730.78,395.26,25.0,4.57,1.71,1.80,208.33,9.300788998
3000,561,318,18.3,29.2,5.44,26.1,6110,157,74.9,6410,11000,200,960,76.92,5865.6,13103.52,40.05,26.1,5.44,1.67,1.60,208.33,0.4476354053
3500,561,318,18.3,29.2,5.44,26.1,6110,157,74.9,6410,11000,200,960,76.92,5865.6,9917.66,46.73,26.1,5.44,1.67,1.60,208.33,0.5914298532
4000,561,318,18.3,29.2,5.44,26.1,6110,157,74.9,6410,11000,200,960,76.92,5865.6,7842.07,53.40,26.1,5.44,1.67,1.60,208.33,0.7479653887
4500,561,318,18.3,29.2,5.44,26.1,6110,157,74.9,6410,11000,200,960,76.92,5865.6,6411.77,60.08,26.1,5.44,1.67,1.60,208.33,0.9148170826
5000,561,318,18.3,29.2,5.44,26.1,6110,157,74.9,6410,11000,200,960,76.92,5865.6,5381.99,66.76,26.1,5.44,1.67,1.60,208.33,1.089857417
15000,561,318,18.3,29.2,5.44,26.1,6110,157,74.9,6410,11000,200,960,76.92,5865.6,1180.50,200.27,26.1,5.44,1.67,1.60,208.33,4.968728414
3000,554,315,16.5,26.2,6.01,28.9,5460,139,74.4,4700,9670,200,960,76.92,5241.6,11396.22,40.32,28.9,6.01,1.68,1.59,208.33,0.4599421448
3500,554,315,16.5,26.2,6.01,28.9,5460,139,74.4,4700,9670,200,960,76.92,5241.6,8590.08,47.04,28.9,6.01,1.68,1.59,208.33,0.6101923074
4000,554,315,16.5,26.2,6.01,28.9,5460,139,74.4,4700,9670,200,960,76.92,5241.6,6763.70,53.76,28.9,6.01,1.68,1.59,208.33,0.774960177
4500,554,315,16.5,26.2,6.01,28.9,5460,139,74.4,4700,9670,200,960,76.92,5241.6,5506.76,60.48,28.9,6.01,1.68,1.59,208.33,0.9518485792
5000,554,315,16.5,26.2,6.01,28.9,5460,139,74.4,4700,9670,200,960,76.92,5241.6,4603.22,67.20,28.9,6.01,1.68,1.59,208.33,1.138682098
15000,554,315,16.5,26.2,6.01,28.9,5460,139,74.4,4700,9670,200,960,76.92,5241.6,966.50,201.61,28.9,6.01,1.68,1.59,208.33,5.423271
3000,551,315,15.2,24.4,6.45,31.3,5030,127,74.2,3740,8780,200,960,76.92,4828.8,10285.96,40.43,31.3,6.45,1.67,1.61,208.33,0.4694554044
3500,551,315,15.2,24.4,6.45,31.3,5030,127,74.2,3740,8780,200,960,76.92,4828.8,7732.35,47.17,31.3,6.45,1.67,1.61,208.33,0.6244931183
4000,551,315,15.2,24.4,6.45,31.3,5030,127,74.2,3740,8780,200,960,76.92,4828.8,6071.27,53.91,31.3,6.45,1.67,1.61,208.33,0.7953520856
4500,551,315,15.2,24.4,6.45,31.3,5030,127,74.2,3740,8780,200,960,76.92,4828.8,4928.95,60.65,31.3,6.45,1.67,1.61,208.33,0.9796822104
5000,551,315,15.2,24.4,6.45,31.3,5030,127,74.2,3740,8780,200,960,76.92,4828.8,4108.56,67.39,31.3,6.45,1.67,1.61,208.33,1.17530266
7000,551,315,15.2,24.4,6.45,31.3,5030,127,74.2,3740,8780,200,960,76.92,4828.8,2373.02,94.34,31.3,6.45,1.67,1.61,208.33,2.034874737
3000,546,312,14.0,22.1,7.05,34.1,4570,114,73.7,2840,7840,200,960,76.92,4387.2,9118.90,40.71,34.1,7.05,1.68,1.58,208.33,0.4811108024
3500,546,312,14.0,22.1,7.05,34.1,4570,114,73.7,2840,7840,200,960,76.92,4387.2,6834.60,47.49,34.1,7.05,1.68,1.58,208.33,0.6419104904
4000,546,312,14.0,22.1,7.05,34.1,4570,114,73.7,2840,7840,200,960,76.92,4387.2,5349.52,54.27,34.1,7.05,1.68,1.58,208.33,0.8201111834
4500,546,312,14.0,22.1,7.05,34.1,4570,114,73.7,2840,7840,200,960,76.92,4387.2,4328.98,61.06,34.1,7.05,1.68,1.58,208.33,1.013449766
5000,546,312,14.0,22.1,7.05,34.1,4570,114,73.7,2840,7840,200,960,76.92,4387.2,3596.73,67.84,34.1,7.05,1.68,1.58,208.33,1.219773086
7000,546,312,14.0,22.1,7.05,34.1,4570,114,73.7,2840,7840,200,960,76.92,4387.2,2052.01,94.98,34.1,7.05,1.68,1.58,208.33,2.137997524
3000,544,312,12.7,20.3,7.68,37.5,4150,103,73.4,2170,7040,200,960,76.92,3984,8144.35,40.87,37.5,7.68,1.68,1.60,208.33,0.4891735303
3500,544,312,12.7,20.3,7.68,37.5,4150,103,73.4,2170,7040,200,960,76.92,3984,6088.09,47.68,37.5,7.68,1.68,1.60,208.33,0.6543921609
4000,544,312,12.7,20.3,7.68,37.5,4150,103,73.4,2170,7040,200,960,76.92,3984,4751.83,54.50,37.5,7.68,1.68,1.60,208.33,0.838413906
4500,544,312,12.7,20.3,7.68,37.5,4150,103,73.4,2170,7040,200,960,76.92,3984,3834.08,61.31,37.5,7.68,1.68,1.60,208.33,1.039103162
5000,544,312,12.7,20.3,7.68,37.5,4150,103,73.4,2170,7040,200,960,76.92,3984,3176.07,68.12,37.5,7.68,1.68,1.60,208.33,1.254382357
7000,544,312,12.7,20.3,7.68,37.5,4150,103,73.4,2170,7040,200,960,76.92,3984,1791.09,95.37,37.5,7.68,1.68,1.60,208.33,2.22434622
1800,549,214,14.7,23.6,4.53,32.3,3620,39,46.7,2510,2670,200,960,76.92,3475.2,8580.75,38.54,32.3,4.53,2.46,1.61,208.33,0.404999781
2300,549,214,14.7,23.6,4.53,32.3,3620,39,46.7,2510,2670,200,960,76.92,3475.2,5429.04,49.25,32.3,4.53,2.46,1.61,208.33,0.6401126076
2800,549,214,14.7,23.6,4.53,32.3,3620,39,46.7,2510,2670,200,960,76.92,3475.2,3803.85,59.96,32.3,4.53,2.46,1.61,208.33,0.9136009745
3300,549,214,14.7,23.6,4.53,32.3,3620,39,46.7,2510,2670,200,960,76.92,3475.2,2854.87,70.66,32.3,4.53,2.46,1.61,208.33,1.21728668
3800,549,214,14.7,23.6,4.53,32.3,3620,39,46.7,2510,2670,200,960,76.92,3475.2,2250.87,81.37,32.3,4.53,2.46,1.61,208.33,1.543935918
15000,549,214,14.7,23.6,4.53,32.3,3620,39,46.7,2510,2670,200,960,76.92,3475.2,355.17,321.20,32.3,4.53,2.46,1.61,208.33,9.784723362
1800,544,212,13.1,21.2,5.00,36.4,3210,34,46.5,1810,2320,200,960,76.92,3081.6,7418.28,38.71,36.4,5.00,2.47,1.62,208.33,0.4154064625
2300,544,212,13.1,21.2,5.00,36.4,3210,34,46.5,1810,2320,200,960,76.92,3081.6,4670.63,49.46,36.4,5.00,2.47,1.62,208.33,0.659781956
2800,544,212,13.1,21.2,5.00,36.4,3210,34,46.5,1810,2320,200,960,76.92,3081.6,3255.02,60.22,36.4,5.00,2.47,1.62,208.33,0.9467212795
3300,544,212,13.1,21.2,5.00,36.4,3210,34,46.5,1810,2320,200,960,76.92,3081.6,2429.53,70.97,36.4,5.00,2.47,1.62,208.33,1.268393079
3800,544,212,13.1,21.2,5.00,36.4,3210,34,46.5,1810,2320,200,960,76.92,3081.6,1905.08,81.72,36.4,5.00,2.47,1.62,208.33,1.617571124
7000,544,212,13.1,21.2,5.00,36.4,3210,34,46.5,1810,2320,200,960,76.92,3081.6,738.46,150.54,36.4,5.00,2.47,1.62,208.33,4.172997443
1900,538,211,11.6,18.8,5.60,41.2,2820,29,46.0,1260,1990,200,960,76.92,2707.2,5717.74,41.30,41.2,5.60,2.46,1.62,208.33,0.473473454
2400,538,211,11.6,18.8,5.60,41.2,2820,29,46.0,1260,1990,200,960,76.92,2707.2,3669.76,52.17,41.2,5.60,2.46,1.62,208.33,0.73770561
2900,538,211,11.6,18.8,5.60,41.2,2820,29,46.0,1260,1990,200,960,76.92,2707.2,2584.36,63.04,41.2,5.60,2.46,1.62,208.33,1.047533106
3400,538,211,11.6,18.8,5.60,41.2,2820,29,46.0,1260,1990,200,960,76.92,2707.2,1939.71,73.91,41.2,5.60,2.46,1.62,208.33,1.395673797
3900,538,211,11.6,18.8,5.60,41.2,2820,29,46.0,1260,1990,200,960,76.92,2707.2,1525.01,84.78,41.2,5.60,2.46,1.62,208.33,1.775205025
10000,538,211,11.6,18.8,5.60,41.2,2820,29,46.0,1260,1990,200,960,76.92,2707.2,368.30,217.39,41.2,5.60,2.46,1.62,208.33,7.350453038
1900,536,210,10.9,17.4,6.04,43.6,2620,27,45.7,1020,1820,200,960,76.92,2515.2,5205.79,41.58,43.6,6.04,2.47,1.59,208.33,0.4831542273
2400,536,210,10.9,17.4,6.04,43.6,2620,27,45.7,1020,1820,200,960,76.92,2515.2,3332.90,52.52,43.6,6.04,2.47,1.59,208.33,0.7546572264
2900,536,210,10.9,17.4,6.04,43.6,2620,27,45.7,1020,1820,200,960,76.92,2515.2,2340.64,63.46,43.6,6.04,2.47,1.59,208.33,1.07457668
3400,536,210,10.9,17.4,6.04,43.6,2620,27,45.7,1020,1820,200,960,76.92,2515.2,1751.62,74.40,43.6,6.04,2.47,1.59,208.33,1.435924541
3900,536,210,10.9,17.4,6.04,43.6,2620,27,45.7,1020,1820,200,960,76.92,2515.2,1372.99,85.34,43.6,6.04,2.47,1.59,208.33,1.831910327
10000,536,210,10.9,17.4,6.04,43.6,2620,27,45.7,1020,1820,200,960,76.92,2515.2,322.85,218.82,43.6,6.04,2.47,1.59,208.33,7.790597037
1800,533,209,10.2,15.6,6.70,46.9,2360,24,45.0,762,1600,200,960,76.92,2265.6,5081.56,40.00,46.9,6.70,2.48,1.53,208.33,0.4458474495
2300,533,209,10.2,15.6,6.70,46.9,2360,24,45.0,762,1600,200,960,76.92,2265.6,3167.69,51.11,46.9,6.70,2.48,1.53,208.33,0.715221347
2800,533,209,10.2,15.6,6.70,46.9,2360,24,45.0,762,1600,200,960,76.92,2265.6,2182.95,62.22,46.9,6.70,2.48,1.53,208.33,1.037860351
3300,533,209,10.2,15.6,6.70,46.9,2360,24,45.0,762,1600,200,960,76.92,2265.6,1609.93,73.33,46.9,6.70,2.48,1.53,208.33,1.407268628
3800,533,209,10.2,15.6,6.70,46.9,2360,24,45.0,762,1600,200,960,76.92,2265.6,1246.96,84.44,46.9,6.70,2.48,1.53,208.33,1.816894082
7000,533,209,10.2,15.6,6.70,46.9,2360,24,45.0,762,1600,200,960,76.92,2265.6,450.94,155.56,46.9,6.70,2.48,1.53,208.33,5.024219566
1500,528,209,9.5,13.3,7.87,50.0,2060,20,43.9,516,1340,200,960,76.92,1977.6,6064.31,34.17,50.0,7.87,2.46,1.39,208.33,0.326104506
2000,528,209,9.5,13.3,7.87,50.0,2060,20,43.9,516,1340,200,960,76.92,1977.6,3454.23,45.56,50.0,7.87,2.46,1.39,208.33,0.5725151228
2500,528,209,9.5,13.3,7.87,50.0,2060,20,43.9,516,1340,200,960,76.92,1977.6,2245.64,56.95,50.0,7.87,2.46,1.39,208.33,0.8806397604
3000,528,209,9.5,13.3,7.87,50.0,2060,20,43.9,516,1340,200,960,76.92,1977.6,1588.62,68.34,50.0,7.87,2.46,1.39,208.33,1.244855429
3500,528,209,9.5,13.3,7.87,50.0,2060,20,43.9,516,1340,200,960,76.92,1977.6,1191.96,79.73,50.0,7.87,2.46,1.39,208.33,1.659117684
10000,528,209,9.5,13.3,7.87,50.0,2060,20,43.9,516,1340,200,960,76.92,1977.6,212.22,227.79,50.0,7.87,2.46,1.39,208.33,9.318830083
1700,523,207,8.9,10.9,9.47,53.6,1750,16,42.2,334,1060,200,960,76.92,1680,3761.35,40.28,53.6,9.47,2.47,1.23,208.33,0.4466485853
2200,523,207,8.9,10.9,9.47,53.6,1750,16,42.2,334,1060,200,960,76.92,1680,2271.75,52.13,53.6,9.47,2.47,1.23,208.33,0.7395191561
2700,523,207,8.9,10.9,9.47,53.6,1750,16,42.2,334,1060,200,960,76.92,1680,1529.53,63.98,53.6,9.47,2.47,1.23,208.33,1.098376873
3200,523,207,8.9,10.9,9.47,53.6,1750,16,42.2,334,1060,200,960,76.92,1680,1106.85,75.83,53.6,9.47,2.47,1.23,208.33,1.51782499
3700,523,207,8.9,10.9,9.47,53.6,1750,16,42.2,334,1060,200,960,76.92,1680,843.35,87.68,53.6,9.47,2.47,1.23,208.33,1.992065858
7000,523,207,8.9,10.9,9.47,53.6,1750,16,42.2,334,1060,200,960,76.92,1680,275.91,165.88,53.6,9.47,2.47,1.23,208.33,6.089046656
1400,536,167,10.3,16.6,5.04,46.3,2110,13,34.3,737,857,200,960,76.92,2025.6,4493.18,40.82,46.3,5.04,3.11,1.61,208.33,0.4508166532
1900,536,167,10.3,16.6,5.04,46.3,2110,13,34.3,737,857,200,960,76.92,2025.6,2502.00,55.39,46.3,5.04,3.11,1.61,208.33,0.8095922465
2400,536,167,10.3,16.6,5.04,46.3,2110,13,34.3,737,857,200,960,76.92,2025.6,1617.70,69.97,46.3,5.04,3.11,1.61,208.33,1.252144369
2900,536,167,10.3,16.6,5.04,46.3,2110,13,34.3,737,857,200,960,76.92,2025.6,1148.46,84.55,46.3,5.04,3.11,1.61,208.33,1.763749467
3400,536,167,10.3,16.6,5.04,46.3,2110,13,34.3,737,857,200,960,76.92,2025.6,869.24,99.13,46.3,5.04,3.11,1.61,208.33,2.330311485
7000,536,167,10.3,16.6,5.04,46.3,2110,13,34.3,737,857,200,960,76.92,2025.6,282.99,204.08,46.3,5.04,3.11,1.61,208.33,7.157762946
1200,528,166,9.7,13.6,6.10,49.4,1800,10,33.0,475,690,200,960,76.92,1728,4902.44,36.36,49.4,6.10,3.10,1.41,208.33,0.3524774862
1700,528,166,9.7,13.6,6.10,49.4,1800,10,33.0,475,690,200,960,76.92,1728,2488.06,51.52,49.4,6.10,3.10,1.41,208.33,0.6945167183
2200,528,166,9.7,13.6,6.10,49.4,1800,10,33.0,475,690,200,960,76.92,1728,1521.28,66.67,49.4,6.10,3.10,1.41,208.33,1.135889238
2700,528,166,9.7,13.6,6.10,49.4,1800,10,33.0,475,690,200,960,76.92,1728,1038.97,81.82,49.4,6.10,3.10,1.41,208.33,1.663182527
3200,528,166,9.7,13.6,6.10,49.4,1800,10,33.0,475,690,200,960,76.92,1728,763.75,96.97,49.4,6.10,3.10,1.41,208.33,2.262529586
7000,528,166,9.7,13.6,6.10,49.4,1800,10,33.0,475,690,200,960,76.92,1728,215.07,212.12,49.4,6.10,3.10,1.41,208.33,8.034623966
1300,526,165,8.9,11.4,7.22,53.6,1560,9,32.0,320,567,200,960,76.92,1497.6,3444.98,40.63,53.6,7.22,3.12,1.29,208.33,0.4347199635
1800,526,165,8.9,11.4,7.22,53.6,1560,9,32.0,320,567,200,960,76.92,1497.6,1826.21,56.25,53.6,7.22,3.12,1.29,208.33,0.8200596937
2300,526,165,8.9,11.4,7.22,53.6,1560,9,32.0,320,567,200,960,76.92,1497.6,1141.80,71.88,53.6,7.22,3.12,1.29,208.33,1.311608042
2800,526,165,8.9,11.4,7.22,53.6,1560,9,32.0,320,567,200,960,76.92,1497.6,789.54,87.50,53.6,7.22,3.12,1.29,208.33,1.896795751
3300,526,165,8.9,11.4,7.22,53.6,1560,9,32.0,320,567,200,960,76.92,1497.6,584.45,103.13,53.6,7.22,3.12,1.29,208.33,2.56242314
8000,526,165,8.9,11.4,7.22,53.6,1560,9,32.0,320,567,200,960,76.92,1497.6,138.60,250.00,53.6,7.22,3.12,1.29,208.33,10.80531911
4700,566,305,38.6,69.6,2.19,10.4,12400,331,74.9,73300,20500,200,960,76.92,11904,19472.54,62.75,10.4,2.19,1.63,1.80,208.33,0.6113223016
5200,566,305,38.6,69.6,2.19,10.4,12400,331,74.9,73300,20500,200,960,76.92,11904,17200.61,69.43,10.4,2.19,1.63,1.80,208.33,0.6920684191
5700,566,305,38.6,69.6,2.19,10.4,12400,331,74.9,73300,20500,200,960,76.92,11904,15413.27,76.10,10.4,2.19,1.63,1.80,208.33,0.7723214274
6200,566,305,38.6,69.6,2.19,10.4,12400,331,74.9,73300,20500,200,960,76.92,11904,13970.44,82.78,10.4,2.19,1.63,1.80,208.33,0.8520848782
6700,566,305,38.6,69.6,2.19,10.4,12400,331,74.9,73300,20500,200,960,76.92,11904,12780.91,89.45,10.4,2.19,1.63,1.80,208.33,0.9313887594
30000,566,305,38.6,69.6,2.19,10.4,12400,331,74.9,73300,20500,200,960,76.92,11904,2660.94,400.53,10.4,2.19,1.63,1.80,208.33,4.47360869
3500,556,302,35.6,63.4,2.38,11.3,11100,293,73.9,55800,17700,200,960,76.92,10656,24059.52,47.36,11.3,2.38,1.63,1.78,208.33,0.442901663
4000,556,302,35.6,63.4,2.38,11.3,11100,293,73.9,55800,17700,200,960,76.92,10656,20043.03,54.13,11.3,2.38,1.63,1.78,208.33,0.5316561821
4500,556,302,35.6,63.4,2.38,11.3,11100,293,73.9,55800,17700,200,960,76.92,10656,17174.05,60.89,11.3,2.38,1.63,1.78,208.33,0.6204711486
5000,556,302,35.6,63.4,2.38,11.3,11100,293,73.9,55800,17700,200,960,76.92,10656,15029.74,67.66,11.3,2.38,1.63,1.78,208.33,0.7089944042
5500,556,302,35.6,63.4,2.38,11.3,11100,293,73.9,55800,17700,200,960,76.92,10656,13369.00,74.42,11.3,2.38,1.63,1.78,208.33,0.7970676852
30000,556,302,35.6,63.4,2.38,11.3,11100,293,73.9,55800,17700,200,960,76.92,10656,2185.50,405.95,11.3,2.38,1.63,1.78,208.33,4.87577829
3500,546,300,32.5,58.6,2.56,12.5,10000,261,73.2,42900,15500,200,960,76.92,9600,20455.71,47.81,12.5,2.56,1.62,1.80,208.33,0.4693066946
4000,546,300,32.5,58.6,2.56,12.5,10000,261,73.2,42900,15500,200,960,76.92,9600,16971.09,54.64,12.5,2.56,1.62,1.80,208.33,0.5656677076
4500,546,300,32.5,58.6,2.56,12.5,10000,261,73.2,42900,15500,200,960,76.92,9600,14493.01,61.48,12.5,2.56,1.62,1.80,208.33,0.6623884013
5000,546,300,32.5,58.6,2.56,12.5,10000,261,73.2,42900,15500,200,960,76.92,9600,12648.55,68.31,12.5,2.56,1.62,1.80,208.33,0.7589800206
5500,546,300,32.5,58.6,2.56,12.5,10000,261,73.2,42900,15500,200,960,76.92,9600,11225.50,75.14,12.5,2.56,1.62,1.80,208.33,0.8551957862
30000,546,300,32.5,58.6,2.56,12.5,10000,261,73.2,42900,15500,200,960,76.92,9600,1809.75,409.84,12.5,2.56,1.62,1.80,208.33,5.30459889
3000,536,297,29.5,53.8,2.76,13.8,9000,232,72.4,32800,13500,200,960,76.92,8640,21883.03,41.44,13.8,2.76,1.62,1.82,208.33,0.3948264191
3500,536,297,29.5,53.8,2.76,13.8,9000,232,72.4,32800,13500,200,960,76.92,8640,17361.59,48.34,13.8,2.76,1.62,1.82,208.33,0.4976503372
4000,536,297,29.5,53.8,2.76,13.8,9000,232,72.4,32800,13500,200,960,76.92,8640,14343.48,55.25,13.8,2.76,1.62,1.82,208.33,0.6023641666
4500,536,297,29.5,53.8,2.76,13.8,9000,232,72.4,32800,13500,200,960,76.92,8640,12206.17,62.15,13.8,2.76,1.62,1.82,208.33,0.7078387115
5000,536,297,29.5,53.8,2.76,13.8,9000,232,72.4,32800,13500,200,960,76.92,8640,10621.79,69.06,13.8,2.76,1.62,1.82,208.33,0.8134219599
30000,536,297,29.5,53.8,2.76,13.8,9000,232,72.4,32800,13500,200,960,76.92,8640,1493.00,414.36,13.8,2.76,1.62,1.82,208.33,5.787022027
3000,526,295,26.9,48.8,3.02,15.1,8030,205,71.6,24400,11700,200,960,76.92,7708.8,18515.38,41.90,15.1,3.02,1.62,1.82,208.33,0.4163458013
3500,526,295,26.9,48.8,3.02,15.1,8030,205,71.6,24400,11700,200,960,76.92,7708.8,14603.89,48.88,15.1,3.02,1.62,1.82,208.33,0.5278592895
4000,526,295,26.9,48.8,3.02,15.1,8030,205,71.6,24400,11700,200,960,76.92,7708.8,12004.57,55.87,15.1,3.02,1.62,1.82,208.33,0.6421553502
4500,526,295,26.9,48.8,3.02,15.1,8030,205,71.6,24400,11700,200,960,76.92,7708.8,10172.30,62.85,15.1,3.02,1.62,1.82,208.33,0.757822653
5000,526,295,26.9,48.8,3.02,15.1,8030,205,71.6,24400,11700,200,960,76.92,7708.8,8820.21,69.83,15.1,3.02,1.62,1.82,208.33,0.8739923682
30000,526,295,26.9,48.8,3.02,15.1,8030,205,71.6,24400,11700,200,960,76.92,7708.8,1211.62,418.99,15.1,3.02,1.62,1.82,208.33,6.362414826
3000,518,292,24.4,44.6,3.27,16.7,7240,183,70.9,18600,10200,200,960,76.92,6950.4,15894.60,42.31,16.7,3.27,1.62,1.83,208.33,0.437280564
3500,518,292,24.4,44.6,3.27,16.7,7240,183,70.9,18600,10200,200,960,76.92,6950.4,12473.05,49.37,16.7,3.27,1.62,1.83,208.33,0.55723345
4000,518,292,24.4,44.6,3.27,16.7,7240,183,70.9,18600,10200,200,960,76.92,6950.4,10207.28,56.42,16.7,3.27,1.62,1.83,208.33,0.6809254651
4500,518,292,24.4,44.6,3.27,16.7,7240,183,70.9,18600,10200,200,960,76.92,6950.4,8616.09,63.47,16.7,3.27,1.62,1.83,208.33,0.8066769972
5000,518,292,24.4,44.6,3.27,16.7,7240,183,70.9,18600,10200,200,960,76.92,6950.4,7446.32,70.52,16.7,3.27,1.62,1.83,208.33,0.9334010586
30000,518,292,24.4,44.6,3.27,16.7,7240,183,70.9,18600,10200,200,960,76.92,6950.4,1000.45,423.13,16.7,3.27,1.62,1.83,208.33,6.947275683
3000,508,290,22.6,40.5,3.58,18.0,6520,163,70.1,14100,8940,200,960,76.92,6259.2,13668.82,42.80,18.0,3.58,1.61,1.79,208.33,0.4579182251
3500,508,290,22.6,40.5,3.58,18.0,6520,163,70.1,14100,8940,200,960,76.92,6259.2,10668.64,49.93,18.0,3.58,1.61,1.79,208.33,0.5866912183
4000,508,290,22.6,40.5,3.58,18.0,6520,163,70.1,14100,8940,200,960,76.92,6259.2,8688.60,57.06,18.0,3.58,1.61,1.79,208.33,0.7203921267
4500,508,290,22.6,40.5,3.58,18.0,6520,163,70.1,14100,8940,200,960,76.92,6259.2,7303.16,64.19,18.0,3.58,1.61,1.79,208.33,0.8570541777
5000,508,290,22.6,40.5,3.58,18.0,6520,163,70.1,14100,8940,200,960,76.92,6259.2,6288.50,71.33,18.0,3.58,1.61,1.79,208.33,0.9953402362
30000,508,290,22.6,40.5,3.58,18.0,6520,163,70.1,14100,8940,200,960,76.92,6259.2,823.07,427.96,18.0,3.58,1.61,1.79,208.33,7.604675507
3000,500,287,20.6,36.6,3.92,19.8,5830,144,69.6,10500,7790,200,960,76.92,5596.8,11678.12,43.10,19.8,3.92,1.61,1.78,208.33,0.4792550687
3500,500,287,20.6,36.6,3.92,19.8,5830,144,69.6,10500,7790,200,960,76.92,5596.8,9063.48,50.29,19.8,3.92,1.61,1.78,208.33,0.6175113968
4000,500,287,20.6,36.6,3.92,19.8,5830,144,69.6,10500,7790,200,960,76.92,5596.8,7343.31,57.47,19.8,3.92,1.61,1.78,208.33,0.762163563
4500,500,287,20.6,36.6,3.92,19.8,5830,144,69.6,10500,7790,200,960,76.92,5596.8,6143.94,64.66,19.8,3.92,1.61,1.78,208.33,0.9109467245
5000,500,287,20.6,36.6,3.92,19.8,5830,144,69.6,10500,7790,200,960,76.92,5596.8,5268.85,71.84,19.8,3.92,1.61,1.78,208.33,1.062243734
30000,500,287,20.6,36.6,3.92,19.8,5830,144,69.6,10500,7790,200,960,76.92,5596.8,668.60,431.03,19.8,3.92,1.61,1.78,208.33,8.370938309
3000,495,284,18.5,33.4,4.25,22.0,5280,129,69.1,7990,6900,200,960,76.92,5068.8,10164.66,43.42,22.0,4.25,1.63,1.81,208.33,0.4986691014
3500,495,284,18.5,33.4,4.25,22.0,5280,129,69.1,7990,6900,200,960,76.92,5068.8,7847.70,50.65,22.0,4.25,1.63,1.81,208.33,0.6458961333
4000,495,284,18.5,33.4,4.25,22.0,5280,129,69.1,7990,6900,200,960,76.92,5068.8,6327.33,57.89,22.0,4.25,1.63,1.81,208.33,0.8010967594
4500,495,284,18.5,33.4,4.25,22.0,5280,129,69.1,7990,6900,200,960,76.92,5068.8,5270.42,65.12,22.0,4.25,1.63,1.81,208.33,0.9617457815
5000,495,284,18.5,33.4,4.25,22.0,5280,129,69.1,7990,6900,200,960,76.92,5068.8,4501.76,72.36,22.0,4.25,1.63,1.81,208.33,1.125959349
30000,495,284,18.5,33.4,4.25,22.0,5280,129,69.1,7990,6900,200,960,76.92,5068.8,552.96,434.15,22.0,4.25,1.63,1.81,208.33,9.166650692
2800,490,284,17.0,30.5,4.65,23.9,4750,116,68.6,6040,6100,200,960,76.92,4560,10013.19,40.82,23.9,4.65,1.62,1.80,208.33,0.4553993723
3300,490,284,17.0,30.5,4.65,23.9,4750,116,68.6,6040,6100,200,960,76.92,4560,7527.39,48.10,23.9,4.65,1.62,1.80,208.33,0.6057876629
3800,490,284,17.0,30.5,4.65,23.9,4750,116,68.6,6040,6100,200,960,76.92,4560,5944.29,55.39,23.9,4.65,1.62,1.80,208.33,0.7671229819
4300,490,284,17.0,30.5,4.65,23.9,4750,116,68.6,6040,6100,200,960,76.92,4560,4869.64,62.68,23.9,4.65,1.62,1.80,208.33,0.9364140959
4800,490,284,17.0,30.5,4.65,23.9,4750,116,68.6,6040,6100,200,960,76.92,4560,4103.30,69.97,23.9,4.65,1.62,1.80,208.33,1.111300147
