x,y
0.0,0.0
1.0,1.0
0.62,0.6227804311438349
0.74,0.8013679965744757
1.06,1.0153131951854575
0.36,0.37426335466947613
0.89,0.8446272994013696
0.4,0.4450932288930497
0.46,0.5016603951232352
0.75,0.6964391974341558
0.4,0.5185252469040272
0.63,0.6102237374267124
0.3,0.3558445150406904
0.46,0.42166022777781
0.39,0.34457902267583146
0.42,0.508898745408
0.77,0.7181215269400215
0.54,0.5175406793597317
0.15,0.10533991528014791
0.41,0.47869064516893656
0.34,0.42536504306085343
0.76,0.7149960646818337
0.54,0.5928475694748676
0.31,0.376159375526645
0.98,1.150779133143843
0.18,0.1345127667917113
0.74,0.7341316864773338
0.28,0.24241001124020461
0.7,0.7035570852058171
1.01,1.0172737729353383
0.37,0.32506764120663756
0.67,0.7186815937364525
0.73,0.6844323611881008
0.42,0.41090207823034863
0.79,0.7391448590634538
0.53,0.5282029478409721
0.28,0.4149434063886053
0.76,0.7334635023013479
0.33,0.29808660902515505
0.63,0.6492162300328501
0.42,0.4254319434657823
0.99,0.9545634761267225
0.4,0.4453981756319983
0.42,0.46186538636705354
0.87,0.8757983158707904
0.92,0.8955060904996034
0.93,0.916338959929499
0.3,0.30864828536437644
0.57,0.5703752868977084
0.58,0.5720645757428443
0.46,0.46597314694091346
0.8,0.7300267532102186
0.79,0.7457146025189388
0.8,0.7766975498818428
0.34,0.3851934743023797
0.16,0.11445570426891793
0.33,0.26704150873568366
0.33,0.3339609500860873
0.56,0.6229039772379722
0.93,0.8845654829689182
0.77,0.6580166019507199
0.33,0.3047157316266642
0.39,0.3445948650262544
0.79,0.8098035679692013
0.82,0.7703842111483551
0.63,0.5845757298815787
0.62,0.604136700113401
0.77,0.7295420712111156
0.78,0.8315627386028195
0.98,1.0219216579918458
0.82,0.7721371365723351
0.55,0.5853618380704407
0.3,0.31545835767514097
0.47,0.5269591513087862
0.79,0.7967315572825319
0.9,0.9106292030596422
0.56,0.5842257632918147
0.42,0.4786162870309634
0.26,0.2512077628115065
0.24,0.2197775428786367
0.43,0.38462320196984484
0.28,0.24021487577698297
0.92,0.7519267357359329
0.58,0.6250650685836262
0.52,0.5565531999293436
0.36,0.3849872363384146
0.39,0.4353865643523299
0.67,0.6776952306523293
0.66,0.6304435235351121
0.19,0.14541407367110126
0.39,0.452630644417414
0.68,0.7041450265558802
0.96,0.9691247196684065
0.46,0.5186499471944338
0.9,0.8923156655083884
0.26,0.2754005200027999
0.98,0.9298980941663709
0.48,0.4674210687235819
0.24,0.22903540152027718
0.44,0.5213996540982782
0.67,0.6152665062664405
0.36,0.34348017822715615
0.28,0.2969739342211665
0.79,0.8507855817717785
0.94,0.9782202138812649
0.38,0.41141789507134874
0.76,0.7149094300105611
0.49,0.41729652224970437
0.53,0.5585558491367489
0.57,0.5945270734031503
0.46,0.34250755992415505
0.69,0.6588779814990252
0.77,0.8221858802348577
0.51,0.5069078213501166
0.27,0.2691193683502492
0.79,0.8154125456397406
0.35,0.38641345436210267
0.68,0.7209482116133777
0.96,1.0043101455164614
0.43,0.370189234394778
0.45,0.483376677778853
0.7,0.6544635568444638
0.28,0.3253421087543653
0.97,0.9658383235363496
0.82,0.8008031426661228
0.89,0.8761603357182968
0.9,0.8880025132206351
0.78,0.8760796246521645
0.3,0.23897068775830388
0.44,0.46185963333174807
0.56,0.5147196729965121
0.2,0.14927019222734816
0.32,0.3494053639673487
0.88,0.9116761230083841
0.87,0.8269078477500408
1.05,0.960325142052495
0.79,0.8614759231174143
0.51,0.4534487147479363
0.66,0.6231666598154556
0.51,0.5556006728369053
0.7,0.6980359925556081
0.54,0.48920852108405866
0.61,0.6427511071627269
0.15,0.23010795573453302
0.85,0.7760764179429999
0.24,0.19477765115751094
0.68,0.6617174062471152
0.41,0.3902355437365276
0.49,0.46139452475248877
0.85,0.7286258009501319
0.75,0.704665012992411
0.91,0.9130721867894198
0.68,0.653008821144207
0.9,0.8797181915839095
0.69,0.5987269772869466
0.71,0.7229797578704881
0.3,0.24203094213096732
0.97,0.8710696460239239
0.22,0.2652268055326091
0.78,0.7807715668715532
0.55,0.5755249085549453
0.62,0.6527357588287289
0.49,0.5257817889387244
0.7,0.6153849337238009
0.9,0.859183825244553
0.65,0.6569571705381242
0.36,0.4164372008267614
0.87,0.8250659051291732
0.22,0.1749748801153551
0.61,0.6022616277344025
0.39,0.43492358719786883
0.38,0.46075490634428673
0.42,0.4019731649816041
0.92,0.8092659668109929
0.21,0.22010434309254479
0.87,0.8125502089645866
0.36,0.4617688646514002
0.74,0.7019025978721051
0.25,0.21179284002805454
0.73,0.8304386305737393
0.25,0.2415829803065332
0.15,0.12011984608669957
0.65,0.6950125300733258
0.36,0.3361794051480328
0.36,0.4278456606930473
0.38,0.500870537079819
0.24,0.2806412291801347
0.41,0.4153229037945483
0.9,0.9450262487429981
0.33,0.3753121030962395
0.38,0.4134708836867361
0.32,0.34880596613402226
0.5,0.5682246801859927
0.33,0.35302025120181507
1.02,0.9108466335618298
0.44,0.5034117914955495
0.12,0.0977883497845976
0.73,0.7429422226102862
0.81,0.8027927813348461
0.8,0.7588031734719126
0.68,0.7250410637789909
0.71,0.6677230972337106
0.42,0.5189710877887623
0.63,0.6027402964961346
0.87,0.8715411976142343
0.32,0.43484305989856353
0.9,0.8547000239990007
0.66,0.6424145683761419
0.73,0.7499017109276455
0.89,0.8972561920569398
0.74,0.7449054049277826
0.45,0.6077625535915419
0.68,0.635039165356443
0.28,0.28839669141608704
0.97,0.8839441219997157
0.77,0.8155274897127297
0.31,0.3838340601323219
0.95,0.9683346584134714
0.58,0.6194572366267639
0.66,0.6943462334121157
0.51,0.5286245358282917
0.78,0.7665575760833337
0.36,0.42979178973290827
0.26,0.17918330944118865
0.32,0.3423080185213395
0.8,0.8733488306197679
0.55,0.5376005317357938
0.25,0.2613605305058383
0.66,0.5658065426237661
0.24,0.19490771036891663
0.33,0.3171501597598677
0.77,0.8149771279118057
0.24,0.22585360335437066
0.59,0.5244869442677966
0.84,0.8374411925966685
0.78,0.7055712488490841
0.69,0.6318553414978773
0.86,0.8148742397973369
0.48,0.519853280022787
0.94,0.9529260718058615
0.78,0.6583161017420999
0.73,0.683693926475988
0.81,0.8037634560818655
0.36,0.5191372649102393
0.51,0.5129915713343035
0.32,0.3335238758226339
0.2,0.2141374344433597
0.43,0.48772516919495235
0.56,0.5907789420236136
0.5,0.545069619450086
1.06,1.0786035899622974
0.27,0.2994817853285475
0.42,0.5394408765939398
0.8,0.7470148366720682
0.71,0.6645589175825584
0.84,0.8854145259442224
0.32,0.2647629204714562
0.87,0.8623633423241794
0.31,0.3838085024907436
0.88,0.8171097868356478
0.76,0.7043173848900909
0.29,0.24461983620275163
0.81,0.8449544977288623
0.47,0.5228490919273396
0.49,0.5068348254531616
0.59,0.5366245148222837
0.79,0.8352209203941582
0.41,0.47181267169858876
0.4,0.3545149240193477
0.3,0.3616300884054081
0.24,0.286789133768799
0.31,0.2649458869402118
0.46,0.44664704334200356
0.69,0.7020919938788105
0.87,0.9151706111561114
0.63,0.5844398973809113
0.85,0.8951011939038249
0.67,0.6659157543959179
0.35,0.3133027006819089
0.32,0.35552287073329075
0.84,0.7607590507956312
0.93,0.8879184793808986
0.96,0.9144525397358054
0.32,0.3315085795604324
0.68,0.6695684169001723
0.39,0.44548573648248024
0.68,0.74443670995796
0.3,0.34497657258101566
0.82,0.8720444630833075
0.3,0.318964231760135
0.36,0.37391080239961105
0.99,0.9095514742965065
0.46,0.4297449731835895
0.87,0.7350685991579454
0.77,0.8152339085656225
0.46,0.49347164432827
0.57,0.6155217570533912
0.49,0.48072074536078435
0.63,0.6330090652765769
0.52,0.5615063136520004
0.68,0.6528158599338001
0.52,0.48741338610420615
0.45,0.5007595492512922
1.01,0.9767479310602984
0.88,0.9422808525155847
0.78,0.7614061574501555
0.89,0.8687849780921805
0.89,0.8445951804738295
0.5,0.554603860485117
0.21,0.2558227921683466
0.75,0.7652094382866427
0.74,0.7294895955270866
0.66,0.6943755759991018
1.08,1.0349370735076535
0.21,0.1457194662343867
0.58,0.5848051776668965
0.85,0.8009672214922398
0.28,0.30725947274633725
0.78,0.7631329485837556
0.46,0.4748210461135979
0.81,0.7647803643139216
0.28,0.2881830134363449
