x,y
0.0,0.0
1.0,1.0
0.62,0.6409201568849001
0.74,0.7567059702405284
1.06,1.0344062667817968
0.36,0.34867662951148365
0.89,0.7555727083333249
0.4,0.4169703861524468
0.46,0.45247549083138083
0.75,0.7565826215262683
0.4,0.40196958827332924
0.63,0.6234275479930261
0.3,0.30379562263098936
0.46,0.4321427489358366
0.39,0.3767051155373091
0.42,0.4483617081932673
0.77,0.762321405907944
0.54,0.5385369033834206
0.15,0.21333455357142228
0.41,0.40641164493309867
0.34,0.36941503246193264
0.76,0.7613257425561274
0.54,0.5394628122358952
0.31,0.32334382506991527
0.98,1.0037316888874968
0.18,0.20936680894926768
0.74,0.736017298411981
0.28,0.2779775204495821
0.7,0.6950187609391224
1.01,0.9941006023352214
0.37,0.3858355208396884
0.67,0.6876201083185044
0.73,0.7251744300148215
0.42,0.3899516031777157
0.79,0.7745604136549755
0.53,0.5160935175310699
0.28,0.30703859251989274
0.76,0.762121872364635
0.33,0.3247050576814375
0.63,0.6573131846514304
0.42,0.4193238595517589
0.99,0.9957354819624324
0.4,0.4077296959274019
0.42,0.4047094619231739
0.87,0.8767000405682063
0.92,0.8921707157786676
0.93,0.9126610871350959
0.3,0.2900894553523744
0.57,0.551084876049688
0.58,0.5624840981939758
0.46,0.4294600403760784
0.8,0.7698996795466848
0.79,0.7830525421429861
0.8,0.7729287792937164
0.34,0.34100714343810773
0.16,0.16256310432842055
0.33,0.33516072366699245
0.33,0.31412303683697707
0.56,0.5635281105722827
0.93,0.9151767342686241
0.77,0.7461974446993083
0.33,0.34478290509847986
0.39,0.3680110661912251
0.79,0.7883556760180997
0.82,0.8094550436186635
0.63,0.6198949878318141
0.62,0.6432193470592498
0.77,0.7680056838133889
0.78,0.7924128002442997
0.98,0.985638976301486
0.82,0.8477980919564622
0.55,0.5589583724209315
0.3,0.3201720055351379
0.47,0.4718616172257873
0.79,0.7566281382655596
0.9,0.9034016718571556
0.56,0.5795276347722201
0.42,0.41481247646015296
0.26,0.24858753010733411
0.24,0.24593976299442344
0.43,0.4449509854513078
0.28,0.270986655831363
0.92,0.8746981409361723
0.58,0.5426049130640686
0.52,0.5300769630842057
0.36,0.3598205949390815
0.39,0.4455038259839131
0.67,0.656463335961992
0.66,0.6562909230075712
0.19,0.19407276546715124
0.39,0.3924097344678596
0.68,0.6880549545008943
0.96,0.97262392823149
0.46,0.4891826840032682
0.9,0.8867983259238849
0.26,0.2735409981205191
0.98,0.963086865565016
0.48,0.5062459327619537
0.24,0.2556892338770156
0.44,0.4689209145948326
0.67,0.6442036700318132
0.36,0.3497497800719961
0.28,0.30175124426900546
0.79,0.8193715021379253
0.94,0.9620241642316355
0.38,0.37106790377545223
0.76,0.7601685833567376
0.49,0.4482431477989325
0.53,0.5568351829803321
0.57,0.5896180128873382
0.46,0.44716057542124527
0.69,0.7326627085557605
0.77,0.7801508349032
0.51,0.5081576412737675
0.27,0.2626244076836253
0.79,0.7694183753156434
0.35,0.3351095216106086
0.68,0.6639208498454541
0.96,0.9094347350489715
0.43,0.4361501734667967
0.45,0.4458786054012659
0.7,0.6893554860665684
0.28,0.28789718556860333
0.97,0.9435155779790529
0.82,0.8082521089668632
0.89,0.9040982134857289
0.9,0.887298367267528
0.78,0.8216659485300373
0.3,0.2868342280196991
0.44,0.4509809624619762
0.56,0.5515534583496414
0.2,0.20318461408277746
0.32,0.3295615833799573
0.88,0.8807741945130145
0.87,0.8587893420191413
1.05,1.02639465354788
0.79,0.8389048034776075
0.51,0.487331180138269
0.66,0.6490031122954789
0.51,0.5179487902063442
0.7,0.6822620707514835
0.54,0.49928768105758026
0.61,0.5911707681630554
0.15,0.15579029329003527
0.85,0.8307716821924569
0.24,0.2473155899099894
0.68,0.6895034807676655
0.41,0.36865832091102496
0.49,0.49392603170401866
0.85,0.8159496941234191
0.75,0.7605763272075572
0.91,0.8889189854093448
0.68,0.6630276278203345
0.9,0.8684386148995611
0.69,0.6538792261028741
0.71,0.7243460654478192
0.3,0.31252237639846836
0.97,0.9410533486138206
0.22,0.24182462758508524
0.78,0.7518438647544239
0.55,0.52838968136723
0.62,0.5954486371885565
0.49,0.48420620364142153
0.7,0.677258752312001
0.9,0.8961393511722646
0.65,0.6611518453806743
0.36,0.3661481343287463
0.87,0.8615136832758505
0.22,0.21495283534394594
0.61,0.5763462176965483
0.39,0.38862637237888487
0.38,0.37993779632776314
0.42,0.4050501945039461
0.92,0.8983879808021555
0.21,0.23904134560682114
0.87,0.8659108001426316
0.36,0.3812601774686525
0.74,0.7276250425801639
0.25,0.262214835472396
0.73,0.7494609176587305
0.25,0.25653497965457395
0.15,0.15761082510763383
0.65,0.6780078784334148
0.36,0.36507424640060915
0.36,0.39350241665764984
0.38,0.39352500019310965
0.24,0.25053251729644466
0.41,0.46301287167701144
0.9,0.8948526262704946
0.33,0.3313634963224704
0.38,0.38093938519907894
0.32,0.329963000547527
0.5,0.5357243530594238
0.33,0.33174209246055575
1.02,1.0169971624833511
0.44,0.44920465585125663
0.12,0.13722026153926792
0.73,0.7439638492166345
0.81,0.8153004463600335
0.8,0.7563425472596718
0.68,0.689039968820113
0.71,0.7188994356072187
0.42,0.47495369101591745
0.63,0.5803932128941254
0.87,0.8771118135180963
0.32,0.3425451111742005
0.9,0.8946537932112176
0.66,0.6362241531122811
0.73,0.7554161156018625
0.89,0.8936081282119436
0.74,0.7553579364254496
0.45,0.47988536341692667
0.68,0.6604410424288756
0.28,0.27854059668778497
0.97,0.9754489228757076
0.77,0.77087709196021
0.31,0.3048275025862309
0.95,0.9452853065545351
0.58,0.5950403556074072
0.66,0.655725823201965
0.51,0.49038138655947755
0.78,0.7858329268189453
0.36,0.3925837173978595
0.26,0.2518887008764448
0.32,0.3222505921905905
0.8,0.8281799892455557
0.55,0.5463811412613975
0.25,0.27623742256624906
0.66,0.6432615482061046
0.24,0.2479430887711241
0.33,0.3189425749143819
0.77,0.7930586889479629
0.24,0.2555887558017332
0.59,0.5747735052242395
0.84,0.8625867259352041
0.78,0.7893981082166381
0.69,0.6585656264131865
0.86,0.8576803310894472
0.48,0.5044692646788398
0.94,0.9520047176392069
0.78,0.748389057759468
0.73,0.6604460520198291
0.81,0.825871482044938
0.36,0.40895249507670456
0.51,0.5193747248880879
0.32,0.3283158721999424
0.2,0.2634731437867805
0.43,0.41183874859785524
0.56,0.5530874182927401
0.5,0.5171726700772089
1.06,1.046167986118024
0.27,0.2879104476240447
0.42,0.4548880493809142
0.8,0.811564685689651
0.71,0.6471972786797743
0.84,0.8676687132155108
0.32,0.3055630740281001
0.87,0.8651465308276034
0.31,0.33145893336749643
0.88,0.8623940946968534
0.76,0.7571774427009733
0.29,0.28715404403751477
0.81,0.7964401716018779
0.47,0.513130546497186
0.49,0.4609585030503382
0.59,0.5723881039802643
0.79,0.76460764847293
0.41,0.41814758066208163
0.4,0.42634092355297265
0.3,0.31806284227479886
0.24,0.26906552019366614
0.31,0.30367441361653574
0.46,0.48697179674197616
0.69,0.6688941512578078
0.87,0.8756487704454666
0.63,0.5964275210190346
0.85,0.849048879146589
0.67,0.6706539763181522
0.35,0.3243840605339967
0.32,0.356590686255878
0.84,0.8317644155232832
0.93,0.8842252961214784
0.96,0.9365472619537014
0.32,0.3292001468027421
0.68,0.7028073696807416
0.39,0.381839204257424
0.68,0.6794739935674786
0.3,0.3045705847080164
0.82,0.8572767121588643
0.3,0.295849677037614
0.36,0.3362456796897332
0.99,0.9827661850510118
0.46,0.46811735565114854
0.87,0.8396009124514915
0.77,0.7944995360709076
0.46,0.49745358974323944
0.57,0.5960205428395231
0.49,0.4657649157443594
0.63,0.5961904879704399
0.52,0.5012027059640758
0.68,0.6792825140499428
0.52,0.5025449915411604
0.45,0.43492798141357747
1.01,1.0071475391275793
0.88,0.9197540945513328
0.78,0.7986939672650986
0.89,0.8671930400214165
0.89,0.8507322105116957
0.5,0.5088044992775715
0.21,0.21046639948940615
0.75,0.7206591438858687
0.74,0.7116179930913323
0.66,0.664852767924991
1.08,1.0289934027777639
0.21,0.21438642860977447
0.58,0.6049800293484577
0.85,0.8237262229185274
0.28,0.2870799626195864
0.78,0.7657024991507949
0.46,0.47230739936543015
0.81,0.7942603189463157
0.28,0.2717828437986324
0.49,0.4246585101494551
0.4,0.5048685543613805
0.57,0.7112609125331972
0.44,0.3710577329232962
0.7,0.7002703959608603
0.8,0.7903264917556198
0.82,0.7926905213833164
0.37,0.3880399068128557
0.78,0.7992782706780616
0.75,0.6960332682707571
0.65,0.7060425705352318
0.66,0.6220225033156966
0.44,0.3967118228298484
0.27,0.25653264132284964
0.43,0.47436147227475983
0.6,0.6482213678065011
0.53,0.5198989161984076
0.72,0.7647335301272241
0.43,0.3824697673942654
0.69,0.66436392163796
0.45,0.5432665555269091
0.23,0.22601012530018846
0.87,0.8622354974031303
0.33,0.3877827470439805
0.96,0.9764820224705758
0.39,0.41222568708386886
0.77,0.715820163919228
0.97,0.9286209213420805
0.63,0.6392642911867458
1.05,1.0005642847499752
0.6,0.5043114705675283
0.33,0.3542933922958911
0.72,0.6875336555257411
0.44,0.3902915864733562
0.4,0.3137775401213915
0.6,0.5615592158765602
0.79,0.7754147454357455
0.48,0.5871271286728608
0.42,0.3980402918695565
0.63,0.6518930917213703
0.33,0.39376808340053204
0.24,0.29007818051552586
0.71,0.7090762618017473
0.83,0.859350733414061
0.9,0.9031177734090753
0.84,0.8895008665259252
0.31,0.3816869611647168
0.49,0.44250603003908157
0.4,0.3922973066425316
0.68,0.6468474899457476
0.31,0.29560686860114105
0.75,0.6987626320910899
0.89,0.8306533026537528
0.36,0.4206029906961623
1.01,0.8862881701182458
0.9,0.9169976874075506
0.3,0.27226651989080397
0.76,0.8018951144412171
0.32,0.3068727070259035
0.74,0.7974538973942755
0.86,0.8075661238353494
0.45,0.5290770676213342
0.7,0.6576975849955061
0.36,0.3990341195286572
0.26,0.30026830513379243
0.27,0.28043825325315636
0.53,0.5163986616771895
0.67,0.6689891230382807
0.65,0.5672986657649763
0.22,0.20890940810946323
0.78,0.765254130494487
0.79,0.7326754764994491
0.36,0.4012665725126611
0.37,0.3326840160562426
0.29,0.26186196905330883
0.74,0.708441432094767
0.8,0.7945528498548419
0.41,0.41533901945926427
0.21,0.2309014850253764
0.34,0.34472906421888355
